,id,created_at,favorite_count,retweet_count,text,clean_text,polarity_tokens,review_len,word_count
55,1471431128041107460,2021-12-16 10:44:53+00:00,1,0,"@mcconalogue @dublinspca @galwayspca @donkeysanctuary @ispca1 @opwfarmleigh @dogstrust_ie @mylovelyhorser @irishbluecross @pawsireland speaking at the launch of the funding of more than €3.7m @dublinspca in dublin, minister @mcconalogue said: 

“these organisation play such a crucial role in ensuring all our animals are cared for and protected. 

""this is frontline work that we can all be proud of.”
🐈🐕🐴 https://t.co/iqiz03lmnb",speak launch funding dublin minister say organisation play crucial role ensure animal care protect frontline work proud,0.4,119,17
56,1471421698322874372,2021-12-16 10:07:25+00:00,2,0,"📽️through the world food programme, #ireland helped fund assistance in lebanon for #syrian refugees following the beirut explosion

📕read more on how @wfp helped lebanon respond to 2020: https://t.co/i2ghqvdaqt
#fightfoodcrises #fightfamine #globalfoodcrises #zerohunger #covid19 https://t.co/j2eop2cxig",world food programme ireland help fund assistance lebanon syrian refugee follow beirut explosion read help lebanon respond fightfoodcrise fightfamine globalfoodcrise zerohunger,0.0,176,21
57,1471419842364248065,2021-12-16 10:00:02+00:00,2,0,"🗓#reminder

ireland’s first annual equine census took place on november 30.

anyone who keeps equines, which include horses, ponies, donkeys, mules, asses and zebras, must submit their completed census form for that night by tomorrow, friday, december 17

https://t.co/ajddqoumoe https://t.co/wg4xlgfptp",reminder ireland annual equine census take place november keep equine include horse pony donkey mule ass zebras submit complete census form night tomorrow friday december,0.1,170,25
58,1471398844818767877,2021-12-16 08:36:36+00:00,8,5,"a total of 2,903 farmers will receive approval in the final tranche of the soil sampling and analysis programme this week🌱

a further €15m has been secured for the second phase of programme that farmers who missed out this time can apply for next year

📍https://t.co/n5mvojzdmf https://t.co/pizdt41mlh",total farmer receive approval final tranche soil sample analysis programme week secure second phase programme farmer miss time apply year,0.1,137,20
59,1471165713343778822,2021-12-15 17:10:13+00:00,3,3,"payments of more than €31m under the 2021 beef data and genomics programme i and ii have now commenced.

minister @mcconalogue said the scheme 'has supported beef farmer incomes and driven greater levels of efficiency in our world-class suckler herd.'
 
📍https://t.co/zllfg6kqya https://t.co/k6oge6ae9h",payment beef datum genomic programme commence minister say scheme support beef farmer income drive great level efficiency world class suckler herd,0.8,146,21
60,1471121413692088325,2021-12-15 14:14:11+00:00,0,0,"minister @mcconalogue ""this is a new measure introduced in 2021 to support tillage farmers to increase soil organic carbon levels on their farms. this measure is an important support to contribute to the long-term sustainability of the tillage sector.""",minister new measure introduce support tillage farmer increase soil organic carbon level farm measure important support contribute long term sustainability tillage sector,0.16212121212121214,170,22
61,1471121410848350209,2021-12-15 14:14:11+00:00,4,1,"minister @mcconalogue today announced that payments have commenced under the 2021 straw incorporation measure

almost €8 million will be paid to approximately 1,800 tillage farmers

📍https://t.co/m5h2vuzooz https://t.co/ykct64jgwu",minister today announce payment commence straw incorporation measure pay tillage farmer,0.0,87,11
62,1471102236633833478,2021-12-15 12:57:59+00:00,7,2,"📸ministers @mcconalogue and @brophytalks signing the new strategic partnership with @wfpchief david beasley between the government of ireland and the @un's @wfp after ireland contributed €75m of lifesaving aid to help goal of ending hunger worldwide.🇮🇪

#fightfamine #zerohunger https://t.co/kvyfmokozi",minister sign new strategic partnership david beasley government ireland ireland contribute lifesave aid help goal end hunger fightfamine zerohung,0.13636363636363635,146,19
63,1471077755655700484,2021-12-15 11:20:42+00:00,67,25,"the public have been urged to source pets from reputable sources, and to think carefully before deciding to buy a puppy this christmas on ireland’s first #animalwelfareawarenessday when 98 #animalwelfare groups received funding of more than €3.7m #awad21🐾https://t.co/q4bgjcec4k https://t.co/iv9gtebvme",public urge source pet reputable source think decide buy puppy christmas ireland animalwelfareawarenessday animalwelfare group receive funding,0.25,142,17
64,1471050805906190341,2021-12-15 09:33:37+00:00,6,6,"@wfpchief said: “ireland has understood the impact of the #climate crisis on food security and is a champion of nutrition. @wfp thanks ireland for the commitment made through various advocacy efforts and looks forward to continuing this partnership.”
#fightfamine #fightfoodcrises https://t.co/r1a7eiqf9w",say ireland understand impact climate crisis food security champion nutrition thank ireland commitment advocacy effort look continue partnership fightfamine fightfoodcrise,0.0,171,20
65,1471049778377207808,2021-12-15 09:29:32+00:00,3,4,"minister @mcconalogue said: ""i want to use the signing of this agreement to highlight the importance of continued support to @wfp and to encourage governments around the world to take steps towards giving them the reliable funding they require.”🇮🇪

#fightfamine #zerohunger https://t.co/r6raudrdn1",minister say want use signing agreement highlight importance continued support encourage government world step give reliable funding require fightfamine zerohung,0.0,161,20
66,1471044616808022024,2021-12-15 09:09:01+00:00,28,15,"ministers @mcconalogue and @brophytalks have today signed an agreement with @wfpchief 
to provide €75m over three years to the @wfp representing our highest ever contribution and confirms ireland's commitment to fighting world hunger🇮🇪🌍

📍https://t.co/rt4qdxey5f

#zerohunger https://t.co/fkr8jvp5q5",minister today sign agreement provide year represent high contribution confirm ireland commitment fight world hunger zerohunger,0.16,127,16
67,1470815311704305670,2021-12-14 17:57:51+00:00,10,2,"minister @pippa_hackett said: “these new arrangements will enable my department to further incentivise the planting of native tree species which will contribute to ireland’s targets, including climate change, biodiversity, habitats and water quality.”",minister say new arrangement enable department incentivise planting native tree specie contribute ireland target include climate change biodiversity habitat water quality,0.13636363636363635,170,21
68,1470815309070229505,2021-12-14 17:57:50+00:00,55,19,"minister @pippa_hackett has secured cabinet approval to make legislative changes to the forestry act 2014 aimed at increasing the planting of native trees

📍https://t.co/kqiruuq2em https://t.co/r18z8ept5v",minister secure cabinet approval legislative change forestry act aim increase planting native tree,0.4,98,13
69,1470798487721689093,2021-12-14 16:51:00+00:00,0,0,"the new eu regulations on veterinary medicines and medicated feed aim to increase the availability of veterinary medicinal products across the #eu and address the #onehealth, one welfare challenges of #antimicrobialresistance and antiparasitic resistance
📍https://t.co/wxupjq7tta",new regulation veterinary medicine medicate feed aim increase availability veterinary medicinal product address onehealth welfare challenge antimicrobialresistance antiparasitic resistance,0.13636363636363635,188,19
70,1470734086432043009,2021-12-14 12:35:05+00:00,0,0,"minister @mcconalogue said: ""once the nitrates action programme is finalised, the overall package will assist ireland’s agri-food sector in working towards its targets under #foodvision2030, in a sustainable manner""",minister say nitrate action programme finalise overall package assist ireland agri food sector work target sustainable manner,0.05,125,17
71,1470734083684716551,2021-12-14 12:35:05+00:00,2,3,"ministers @mcconalogue and @darraghobrientd have today published the draft fifth nitrates action programme (#nap) and announced the opening of a public consultation on the draft nap natura impact statement and the strategic environmental assessment

📍 https://t.co/1pgxlyfmm6 https://t.co/3lklw3ruvg",minister today publish draft fifth nitrate action programme nap announce opening public consultation draft nap natura impact statement strategic environmental assessment,0.05,169,21
72,1470722897656299528,2021-12-14 11:50:38+00:00,0,0,"minister @mcconalogue said the negotiations with the uk ‘proved to be very difficult and it is in ireland’s interest that the eu is not rushed into an unacceptable deal. to avoid any disruption to our fleets, we have agreed provisional fish quotas for the first quarter of 2022’",minister say negotiation prove difficult ireland interest rush unacceptable deal avoid disruption fleet agree provisional fish quota quarter,-0.5,140,18
