,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
49,0.01962456703186035,0.0018830906347913916,0.003549623489379883,0.00012014511899294181,0.01,0.1,9,40,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 40}",0.8927410883945083,0.7283202964429952,0.6953719897790815,0.8902702857430762,0.7808112465314565,0.7975029813782235,0.08145141759261453,31,-144.5387191889235,-139.0688498396068,-418.4095989314559,-178.6772149731341,-103.94422271115315,-196.92772112885467,113.2479497907392,31
43,0.01861739158630371,0.0006069266256069442,0.003725290298461914,4.2272898261309143e-05,0.01,0.1,6,40,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 40}",0.8927410883945083,0.7283202964429952,0.6953719897790815,0.8902702857430762,0.7808112465314565,0.7975029813782235,0.08145141759261453,31,-144.5387191889235,-139.0688498396068,-418.4095989314559,-178.6772149731341,-103.94422271115315,-196.92772112885467,113.2479497907392,31
109,0.017952108383178712,0.0006679072662264599,0.003603076934814453,0.00011602581790352827,0.1,0.1,3,40,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 40}",0.8888588785811512,0.7304348820341522,0.6962473006006706,0.8903634773709848,0.7789798361722952,0.7969768749518508,0.08007688490143204,35,-147.1312404087187,-138.52657995299816,-417.808042440668,-178.60132505785552,-104.3775673348392,-197.28895103901593,112.76456398228139,35
37,0.027115440368652342,0.0074297930751261705,0.004477596282958985,0.0014649433096565005,0.01,0.1,3,40,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 40}",0.8888588785811512,0.7304348820341522,0.6962473006006706,0.8903634773709848,0.7789798361722952,0.7969768749518508,0.08007688490143204,35,-147.1312404087187,-138.52657995299816,-417.808042440668,-178.60132505785552,-104.3775673348392,-197.28895103901593,112.76456398228139,35
100,0.12504067420959472,0.006401277802470793,0.0036900520324707033,0.00012168734797692686,0.1,0.01,6,340,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 340}",0.8639243695580835,0.673407842820559,0.6155382669427693,0.8657480789613059,0.7478573645498081,0.7532951845665051,0.10027262402134436,37,-162.80123183242407,-152.47693069224434,-470.0491612860809,-197.63656852294469,-111.48446818741695,-218.88967210422214,128.54977759631987,37
106,0.12622489929199218,0.00951300026739365,0.003721189498901367,0.0001140542651118315,0.1,0.01,9,340,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 340}",0.8639243695580835,0.673407842820559,0.6155382669427693,0.8657480789613059,0.7478573645498081,0.7532951845665051,0.10027262402134436,37,-162.80123183242407,-152.47693069224434,-470.0491612860809,-197.63656852294469,-111.48446818741695,-218.88967210422214,128.54977759631987,37
28,0.15116467475891113,0.005445632493186781,0.004547548294067383,0.000870474602704224,0.01,0.01,6,340,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 340}",0.8639243695580835,0.673407842820559,0.6155382669427693,0.8657480789613059,0.7478573645498081,0.7532951845665051,0.10027262402134436,37,-162.80123183242407,-152.47693069224434,-470.0491612860809,-197.63656852294469,-111.48446818741695,-218.88967210422214,128.54977759631987,37
34,0.215753173828125,0.05616383776296215,0.006679058074951172,0.002405484986354553,0.01,0.01,9,340,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 340}",0.8639243695580835,0.673407842820559,0.6155382669427693,0.8657480789613059,0.7478573645498081,0.7532951845665051,0.10027262402134436,37,-162.80123183242407,-152.47693069224434,-470.0491612860809,-197.63656852294469,-111.48446818741695,-218.88967210422214,128.54977759631987,37
22,0.20917515754699706,0.01869508088755978,0.0053097248077392575,0.002134268493012923,0.01,0.01,3,340,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 340}",0.8626972690906012,0.6698536763515399,0.6159262125084652,0.865829275477918,0.7478573645498081,0.7524327595956665,0.10049010746867436,41,-163.5336374363669,-153.3043571256021,-469.8119471542241,-197.57679348239174,-111.48446818741695,-219.14224067720033,128.31017878594164,41
94,0.12283506393432617,0.006089397376769659,0.003750324249267578,6.397708354161936e-05,0.1,0.01,3,340,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 340}",0.8626972690906012,0.6698536763515399,0.6159262125084652,0.865829275477918,0.7478573645498081,0.7524327595956665,0.10049010746867436,41,-163.5336374363669,-153.3043571256021,-469.8119471542241,-197.57679348239174,-111.48446818741695,-219.14224067720033,128.31017878594164,41
