Year,Veterinary Office,Animal Count,Herd Incidence Rate,Restricted Herds at end of Year,Restricted Herds at start of Year,Herds Tested,Herds Count,Reactors per 1000 Tests A.P.T.,Reactors to date,Tests on Animals
2017,Leitrim,65260.0,2.87,40.0,83.0,2895.0,2930.0,3.31,309.0,93300.0
2017,Limerick,374261.0,2.26,54.0,121.0,5358.0,5435.0,1.04,533.0,513342.0
2017,Longford,105363.0,2.21,38.0,52.0,2358.0,2379.0,0.56,73.0,131474.0
2017,Louth,88669.0,4.01,21.0,46.0,1148.0,1195.0,1.69,181.0,107314.0
2017,Mayo,243720.0,2.2,101.0,197.0,8936.0,9033.0,1.54,507.0,329714.0
2017,Meath,276807.0,5.77,133.0,206.0,3572.0,3694.0,1.61,654.0,406634.0
2017,Monaghan,200167.0,4.94,132.0,207.0,4194.0,4312.0,3.68,1089.0,295948.0
2017,Offaly,227137.0,3.66,73.0,114.0,3111.0,3172.0,1.17,346.0,296625.0
2017,Roscommon,182036.0,2.71,83.0,146.0,5390.0,5459.0,1.67,422.0,251964.0
2017,Sligo,99947.0,3.04,56.0,105.0,3452.0,3486.0,2.12,290.0,136865.0
2017,Tipperary North,310390.0,4.26,90.0,146.0,3425.0,3505.0,2.0,842.0,420633.0
2017,Tipperary South,307063.0,3.27,63.0,111.0,3395.0,3505.0,0.91,361.0,396451.0
2017,Waterford,245055.0,1.66,27.0,36.0,2169.0,2188.0,0.5,149.0,297173.0
2017,Westmeath,194813.0,5.72,114.0,175.0,3058.0,3119.0,3.14,919.0,292352.0
2017,Wexford,287433.0,4.57,65.0,138.0,3020.0,3058.0,2.35,907.0,385191.0
2017,Wicklow E,77855.0,5.97,35.0,63.0,1055.0,1066.0,3.51,421.0,119893.0
2017,Wicklow W,41755.0,11.05,28.0,61.0,552.0,556.0,4.7,309.0,65743.0
2018,Carlow,99794.0,2.75,26.0,35.0,1273.0,1296.0,0.86,105.0,122158.0
2018,Cavan,219665.0,4.19,107.0,201.0,4799.0,4860.0,2.71,893.0,329223.0
2018,Clare,253863.0,3.77,124.0,225.0,5969.0,6036.0,3.38,1265.0,374578.0
2018,Cork North,526182.0,5.66,178.0,320.0,5649.0,5747.0,2.66,2086.0,784284.0
2018,Cork South,449698.0,2.72,84.0,161.0,5930.0,6023.0,0.95,582.0,609574.0
2018,Donegal,172114.0,1.7,42.0,87.0,5126.0,5202.0,0.56,113.0,200069.0
2018,Dublin,20766.0,8.4,15.0,30.0,357.0,372.0,5.17,169.0,32680.0
2018,Galway,396452.0,2.23,113.0,241.0,10822.0,10936.0,1.61,838.0,519150.0
2018,Kerry,308049.0,2.62,82.0,172.0,6570.0,6642.0,2.42,1069.0,441446.0
2018,Kildare,122371.0,3.52,66.0,63.0,1791.0,1843.0,1.08,167.0,154612.0
2018,Kilkenny,326766.0,2.92,55.0,88.0,3009.0,3044.0,0.85,352.0,414922.0
2018,Laois,242657.0,3.6,81.0,100.0,2779.0,2811.0,1.67,505.0,301949.0
2018,Leitrim,66528.0,2.02,26.0,58.0,2868.0,2890.0,2.14,185.0,86623.0
2018,Limerick,366277.0,1.79,50.0,94.0,5261.0,5351.0,0.73,364.0,495950.0
2018,Longford,105303.0,1.97,30.0,46.0,2333.0,2356.0,1.52,207.0,136359.0
2018,Louth,86266.0,4.88,24.0,56.0,1147.0,1186.0,0.94,101.0,107076.0
2018,Mayo,243195.0,2.2,94.0,193.0,8771.0,8852.0,1.5,501.0,334547.0
2018,Meath,269302.0,5.39,117.0,193.0,3581.0,3687.0,1.92,754.0,393511.0
2018,Monaghan,197315.0,8.91,226.0,371.0,4164.0,4263.0,4.49,1677.0,373846.0
2018,Offaly,223666.0,3.96,79.0,122.0,3081.0,3126.0,1.21,360.0,298237.0
2018,Roscommon,183128.0,2.72,66.0,144.0,5294.0,5359.0,1.36,336.0,246291.0
2018,Sligo,99613.0,3.94,58.0,134.0,3400.0,3429.0,3.45,482.0,139664.0
2018,Tipperary North,300869.0,4.85,109.0,165.0,3400.0,3469.0,2.98,1296.0,435034.0
2018,Tipperary South,296572.0,2.86,59.0,96.0,3362.0,3457.0,1.02,399.0,389821.0
2018,Waterford,235893.0,2.78,30.0,59.0,2124.0,2156.0,1.13,343.0,302544.0
2018,Westmeath,189233.0,4.82,87.0,147.0,3047.0,3096.0,2.33,666.0,285228.0
2018,Wexford,279336.0,4.33,63.0,129.0,2982.0,3021.0,1.91,709.0,371229.0
2018,Wicklow E,76017.0,9.51,52.0,98.0,1030.0,1055.0,4.83,596.0,123485.0
2018,Wicklow W,41855.0,8.6,33.0,46.0,535.0,540.0,5.64,371.0,65766.0
2019,Carlow,97336.0,2.91,22.0,37.0,1270.0,1292.0,0.61,77.0,123760.0
2019,Cavan,218207.0,4.55,108.0,216.0,4744.0,4810.0,2.36,941.0,332460.0
2019,Clare,254295.0,4.67,134.0,273.0,5845.0,5910.0,2.66,1190.0,375832.0
2019,Cork North,523265.0,6.12,208.0,342.0,5588.0,5702.0,1.92,1993.0,798849.0
2019,Cork South,445268.0,3.12,96.0,181.0,5798.0,5926.0,1.17,898.0,580538.0
2019,Donegal,171254.0,2.32,46.0,117.0,5043.0,5249.0,0.98,219.0,210692.0
2019,Dublin,20440.0,5.34,18.0,18.0,337.0,346.0,4.8,137.0,27711.0
2019,Galway,393971.0,2.79,167.0,299.0,10698.0,10824.0,1.89,1181.0,524570.0
2019,Kerry,306711.0,2.83,90.0,184.0,6494.0,6581.0,1.59,832.0,435906.0
2019,Kildare,120980.0,3.24,66.0,55.0,1697.0,1742.0,0.54,84.0,146165.0
2019,Kilkenny,326201.0,4.33,79.0,131.0,3027.0,3056.0,1.04,507.0,419001.0
2019,Laois,235720.0,4.25,79.0,114.0,2681.0,2710.0,1.29,446.0,305448.0
2019,Leitrim,66514.0,2.57,39.0,73.0,2839.0,2863.0,2.61,258.0,89280.0
2019,Limerick,372139.0,2.06,46.0,105.0,5106.0,5204.0,0.6,357.0,492196.0
2019,Longford,105787.0,2.21,33.0,51.0,2309.0,2337.0,0.74,116.0,128903.0
2019,Louth,86083.0,5.52,33.0,64.0,1159.0,1199.0,1.36,194.0,107324.0
2019,Mayo,241656.0,1.63,73.0,141.0,8656.0,8763.0,0.98,379.0,320106.0
2019,Meath,267273.0,5.56,135.0,199.0,3579.0,3683.0,1.3,555.0,386790.0
2019,Monaghan,197909.0,7.02,147.0,292.0,4162.0,4235.0,2.84,1336.0,406183.0
2019,Offaly,219789.0,5.08,100.0,154.0,3032.0,3077.0,1.67,598.0,294330.0
