sagecode,item,domsupply,foodsupply,feedsupply,otherutil,foodfraction,feedfraction,otherutilfraction
ZAR,Bananas,314571.4286,283142.8571,0,31428.57143,0.900090827,0,0.099909173
DNK,Bananas,63857.14286,60714.28571,0,3142.857143,0.950782998,0,0.049217002
DJI,Bananas,857.1428571,857.1428571,0,0,1,0,0
DMI,Bananas,4285.714286,2000,1000,1285.714286,0.466666667,0.233333333,0.3
DOM,Bananas,333571.4286,291142.8571,0,42428.57143,0.872805139,0,0.127194861
ECU,Bananas,1833000,1427142.857,0,405857.1429,0.778583119,0,0.221416881
EGY,Bananas,773857.1429,696428.5714,0,77428.57143,0.899944619,0,0.100055381
ELS,Bananas,117428.5714,94000,5714.285714,17714.28571,0.800486618,0.0486618,0.150851582
EST,Bananas,11142.85714,11142.85714,0,0,1,0,0
ETH,Bananas,111857.1429,100571.4286,0,11285.71429,0.899106003,0,0.100893997
FJI,Bananas,3142.857143,3000,0,142.8571429,0.954545455,0,0.045454545
FIN,Bananas,61142.85714,58142.85714,0,3000,0.950934579,0,0.049065421
FRA,Bananas,118142.8571,101142.8571,0,17000,0.856106409,0,0.143893591
PYF,Bananas,428.5714286,428.5714286,0,0,1,0,0
GAB,Bananas,11428.57143,10428.57143,0,1000,0.9125,0,0.0875
GEO,Bananas,5142.857143,5142.857143,0,0,1,0,0
DEU,Bananas,964000,908142.8571,0,55857.14286,0.942056906,0,0.057943094
GHA,Bananas,11142.85714,9571.428571,0,1571.428571,0.858974359,0,0.141025641
GRC,Bananas,69142.85714,60857.14286,0,8285.714286,0.880165289,0,0.119834711
GRD,Bananas,3857.142857,2000,1000,857.1428571,0.518518519,0.259259259,0.222222222
GUA,Bananas,71857.14286,27285.71429,5428.571429,39142.85714,0.37972167,0.07554672,0.54473161
GIN,Bananas,150000,120000,0,30000,0.8,0,0.2
GNB,Bananas,4000,4000,0,0,1,0,0
GUY,Bananas,15142.85714,12714.28571,0,2428.571429,0.839622642,0,0.160377358
HAI,Bananas,294714.2857,220857.1429,0,73857.14286,0.749394086,0,0.250605914
HON,Bananas,270571.4286,155142.8571,84285.71429,31142.85714,0.573389652,0.311510032,0.115100317
HUN,Bananas,81428.57143,77000,0,4428.571429,0.945614035,0,0.054385965
ISL,Bananas,3571.428571,3571.428571,0,0,1,0,0
IND,Bananas,14385714.29,11507000,0,2878714.286,0.799890765,0,0.200109235
IDN,Bananas,3695428.571,3320714.286,0,374714.2857,0.898600588,0,0.101399412
IRN,Bananas,212857.1429,206571.4286,0,6285.714286,0.970469799,0,0.029530201
