"Statistic","Month","Meteorological Weather Station","UNIT","VALUE"
"Average Maximum Temperature","1958M11","Casement","Degrees C",""
"Average Maximum Temperature","1958M11","Claremorris","Degrees C","10.7"
"Average Maximum Temperature","1958M11","Clones","Degrees C","10.1"
"Average Maximum Temperature","1958M11","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M11","Dublin airport","Degrees C","10.6"
"Average Maximum Temperature","1958M11","Galway","Degrees C",""
"Average Maximum Temperature","1958M11","Kilkenny","Degrees C","11"
"Average Maximum Temperature","1958M11","Malin head","Degrees C","10.9"
"Average Maximum Temperature","1958M11","Mullingar","Degrees C","10.2"
"Average Maximum Temperature","1958M11","Roches Point","Degrees C","11.9"
"Average Maximum Temperature","1958M11","Rosslare","Degrees C","11.7"
"Average Maximum Temperature","1958M11","Shannon airport","Degrees C","11.4"
"Average Maximum Temperature","1958M12","Belmullet","Degrees C","8.7"
"Average Maximum Temperature","1958M12","Birr","Degrees C","7.5"
"Average Maximum Temperature","1958M12","Valentia Observatory","Degrees C","9.7"
"Average Maximum Temperature","1958M12","Casement","Degrees C",""
"Average Maximum Temperature","1958M12","Claremorris","Degrees C","7.1"
"Average Maximum Temperature","1958M12","Clones","Degrees C","6.9"
"Average Maximum Temperature","1958M12","Cork airport","Degrees C",""
"Average Maximum Temperature","1958M12","Dublin airport","Degrees C","7.9"
"Average Maximum Temperature","1958M12","Galway","Degrees C",""
"Average Maximum Temperature","1958M12","Kilkenny","Degrees C","8"
"Average Maximum Temperature","1958M12","Malin head","Degrees C","8.4"
"Average Maximum Temperature","1958M12","Mullingar","Degrees C","7.1"
"Average Maximum Temperature","1958M12","Roches Point","Degrees C","9.5"
"Average Maximum Temperature","1958M12","Rosslare","Degrees C","9.5"
"Average Maximum Temperature","1958M12","Shannon airport","Degrees C","8.2"
"Average Maximum Temperature","1959M01","Belmullet","Degrees C","7.1"
"Average Maximum Temperature","1959M01","Birr","Degrees C","6"
"Average Maximum Temperature","1959M01","Valentia Observatory","Degrees C","8.9"
"Average Maximum Temperature","1959M01","Casement","Degrees C",""
"Average Maximum Temperature","1959M01","Claremorris","Degrees C","5.2"
"Average Maximum Temperature","1959M01","Clones","Degrees C","4.8"
"Average Maximum Temperature","1959M01","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M01","Dublin airport","Degrees C","5.8"
"Average Maximum Temperature","1959M01","Galway","Degrees C",""
"Average Maximum Temperature","1959M01","Kilkenny","Degrees C","6.1"
"Average Maximum Temperature","1959M01","Malin head","Degrees C","6.5"
"Average Maximum Temperature","1959M01","Mullingar","Degrees C","5.1"
"Average Maximum Temperature","1959M01","Roches Point","Degrees C","7.8"
"Average Maximum Temperature","1959M01","Rosslare","Degrees C","7.1"
"Average Maximum Temperature","1959M01","Shannon airport","Degrees C","7.1"
"Average Maximum Temperature","1959M02","Belmullet","Degrees C","9.5"
"Average Maximum Temperature","1959M02","Birr","Degrees C","10.2"
"Average Maximum Temperature","1959M02","Valentia Observatory","Degrees C","11"
"Average Maximum Temperature","1959M02","Casement","Degrees C",""
"Average Maximum Temperature","1959M02","Claremorris","Degrees C","8.8"
"Average Maximum Temperature","1959M02","Clones","Degrees C","8.6"
"Average Maximum Temperature","1959M02","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M02","Dublin airport","Degrees C","9.4"
"Average Maximum Temperature","1959M02","Galway","Degrees C",""
"Average Maximum Temperature","1959M02","Kilkenny","Degrees C","10.1"
"Average Maximum Temperature","1959M02","Malin head","Degrees C","9.1"
"Average Maximum Temperature","1959M02","Mullingar","Degrees C","9.1"
"Average Maximum Temperature","1959M02","Roches Point","Degrees C","9.5"
"Average Maximum Temperature","1959M02","Rosslare","Degrees C","9.2"
"Average Maximum Temperature","1959M02","Shannon airport","Degrees C","10.5"
"Average Maximum Temperature","1959M03","Belmullet","Degrees C","10.8"
"Average Maximum Temperature","1959M03","Birr","Degrees C","10.9"
"Average Maximum Temperature","1959M03","Valentia Observatory","Degrees C","11.5"
"Average Maximum Temperature","1959M03","Casement","Degrees C",""
"Average Maximum Temperature","1959M03","Claremorris","Degrees C","10.3"
"Average Maximum Temperature","1959M03","Clones","Degrees C","10.6"
"Average Maximum Temperature","1959M03","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M03","Dublin airport","Degrees C","10.1"
"Average Maximum Temperature","1959M03","Galway","Degrees C",""
"Average Maximum Temperature","1959M03","Kilkenny","Degrees C","11"
"Average Maximum Temperature","1959M03","Malin head","Degrees C","10.2"
"Average Maximum Temperature","1959M03","Mullingar","Degrees C","10.5"
"Average Maximum Temperature","1959M03","Roches Point","Degrees C","10.3"
"Average Maximum Temperature","1959M03","Rosslare","Degrees C","10.5"
"Average Maximum Temperature","1959M03","Shannon airport","Degrees C","11.4"
"Average Maximum Temperature","1959M04","Belmullet","Degrees C","11.8"
"Average Maximum Temperature","1959M04","Birr","Degrees C","12.8"
"Average Maximum Temperature","1959M04","Valentia Observatory","Degrees C","12.1"
"Average Maximum Temperature","1959M04","Casement","Degrees C",""
"Average Maximum Temperature","1959M04","Claremorris","Degrees C","12.1"
"Average Maximum Temperature","1959M04","Clones","Degrees C","12.2"
"Average Maximum Temperature","1959M04","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M04","Dublin airport","Degrees C","12.2"
"Average Maximum Temperature","1959M04","Galway","Degrees C",""
"Average Maximum Temperature","1959M04","Kilkenny","Degrees C","13.1"
"Average Maximum Temperature","1959M04","Malin head","Degrees C","11.3"
"Average Maximum Temperature","1959M04","Mullingar","Degrees C","12.6"
"Average Maximum Temperature","1959M04","Roches Point","Degrees C","12.3"
"Average Maximum Temperature","1959M04","Rosslare","Degrees C","12.3"
"Average Maximum Temperature","1959M04","Shannon airport","Degrees C","13"
"Average Maximum Temperature","1959M05","Belmullet","Degrees C","15.8"
"Average Maximum Temperature","1959M05","Birr","Degrees C","17.7"
"Average Maximum Temperature","1959M05","Valentia Observatory","Degrees C","16.3"
"Average Maximum Temperature","1959M05","Casement","Degrees C",""
"Average Maximum Temperature","1959M05","Claremorris","Degrees C","17.1"
"Average Maximum Temperature","1959M05","Clones","Degrees C","17.2"
"Average Maximum Temperature","1959M05","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M05","Dublin airport","Degrees C","15.1"
"Average Maximum Temperature","1959M05","Galway","Degrees C",""
"Average Maximum Temperature","1959M05","Kilkenny","Degrees C","18.1"
"Average Maximum Temperature","1959M05","Malin head","Degrees C","14"
"Average Maximum Temperature","1959M05","Mullingar","Degrees C","17.4"
"Average Maximum Temperature","1959M05","Roches Point","Degrees C","15.4"
"Average Maximum Temperature","1959M05","Rosslare","Degrees C","14.6"
"Average Maximum Temperature","1959M05","Shannon airport","Degrees C","18"
"Average Maximum Temperature","1959M06","Belmullet","Degrees C","16.9"
"Average Maximum Temperature","1959M06","Birr","Degrees C","19.2"
"Average Maximum Temperature","1959M06","Valentia Observatory","Degrees C","17.4"
"Average Maximum Temperature","1959M06","Casement","Degrees C",""
"Average Maximum Temperature","1959M06","Claremorris","Degrees C","18"
"Average Maximum Temperature","1959M06","Clones","Degrees C","18.5"
"Average Maximum Temperature","1959M06","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M06","Dublin airport","Degrees C","18.1"
"Average Maximum Temperature","1959M06","Galway","Degrees C",""
"Average Maximum Temperature","1959M06","Kilkenny","Degrees C","19.7"
"Average Maximum Temperature","1959M06","Malin head","Degrees C","16.7"
"Average Maximum Temperature","1959M06","Mullingar","Degrees C","19.4"
"Average Maximum Temperature","1959M06","Roches Point","Degrees C","17.7"
"Average Maximum Temperature","1959M06","Rosslare","Degrees C","17.4"
"Average Maximum Temperature","1959M06","Shannon airport","Degrees C","18.9"
"Average Maximum Temperature","1959M07","Belmullet","Degrees C","17.1"
"Average Maximum Temperature","1959M07","Birr","Degrees C","19.9"
"Average Maximum Temperature","1959M07","Valentia Observatory","Degrees C","18.4"
"Average Maximum Temperature","1959M07","Casement","Degrees C",""
"Average Maximum Temperature","1959M07","Claremorris","Degrees C","18.5"
"Average Maximum Temperature","1959M07","Clones","Degrees C","19"
"Average Maximum Temperature","1959M07","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M07","Dublin airport","Degrees C","19.8"
"Average Maximum Temperature","1959M07","Galway","Degrees C",""
"Average Maximum Temperature","1959M07","Kilkenny","Degrees C","20.9"
"Average Maximum Temperature","1959M07","Malin head","Degrees C","17.6"
"Average Maximum Temperature","1959M07","Mullingar","Degrees C","20"
"Average Maximum Temperature","1959M07","Roches Point","Degrees C","19.2"
"Average Maximum Temperature","1959M07","Rosslare","Degrees C","18.6"
"Average Maximum Temperature","1959M07","Shannon airport","Degrees C","20"
"Average Maximum Temperature","1959M08","Belmullet","Degrees C","17.8"
"Average Maximum Temperature","1959M08","Birr","Degrees C","20.7"
"Average Maximum Temperature","1959M08","Valentia Observatory","Degrees C","19.2"
"Average Maximum Temperature","1959M08","Casement","Degrees C",""
"Average Maximum Temperature","1959M08","Claremorris","Degrees C","19.1"
"Average Maximum Temperature","1959M08","Clones","Degrees C","19.6"
"Average Maximum Temperature","1959M08","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M08","Dublin airport","Degrees C","20"
"Average Maximum Temperature","1959M08","Galway","Degrees C",""
"Average Maximum Temperature","1959M08","Kilkenny","Degrees C","21.8"
"Average Maximum Temperature","1959M08","Malin head","Degrees C","17.6"
"Average Maximum Temperature","1959M08","Mullingar","Degrees C","20.3"
"Average Maximum Temperature","1959M08","Roches Point","Degrees C","19.9"
"Average Maximum Temperature","1959M08","Rosslare","Degrees C","19.2"
"Average Maximum Temperature","1959M08","Shannon airport","Degrees C","20.5"
"Average Maximum Temperature","1959M09","Belmullet","Degrees C","18.2"
"Average Maximum Temperature","1959M09","Birr","Degrees C","20.2"
"Average Maximum Temperature","1959M09","Valentia Observatory","Degrees C","19.9"
"Average Maximum Temperature","1959M09","Casement","Degrees C",""
"Average Maximum Temperature","1959M09","Claremorris","Degrees C","18.4"
"Average Maximum Temperature","1959M09","Clones","Degrees C","18.4"
"Average Maximum Temperature","1959M09","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M09","Dublin airport","Degrees C","18.3"
"Average Maximum Temperature","1959M09","Galway","Degrees C",""
"Average Maximum Temperature","1959M09","Kilkenny","Degrees C","20.5"
"Average Maximum Temperature","1959M09","Malin head","Degrees C","17.6"
"Average Maximum Temperature","1959M09","Mullingar","Degrees C","19.5"
"Average Maximum Temperature","1959M09","Roches Point","Degrees C","19.2"
"Average Maximum Temperature","1959M09","Rosslare","Degrees C","18.3"
"Average Maximum Temperature","1959M09","Shannon airport","Degrees C","20.4"
"Average Maximum Temperature","1959M10","Belmullet","Degrees C","15.3"
"Average Maximum Temperature","1959M10","Birr","Degrees C","15.9"
"Average Maximum Temperature","1959M10","Valentia Observatory","Degrees C","16.5"
"Average Maximum Temperature","1959M10","Casement","Degrees C",""
"Average Maximum Temperature","1959M10","Claremorris","Degrees C","15"
"Average Maximum Temperature","1959M10","Clones","Degrees C","15"
"Average Maximum Temperature","1959M10","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M10","Dublin airport","Degrees C","15"
"Average Maximum Temperature","1959M10","Galway","Degrees C",""
"Average Maximum Temperature","1959M10","Kilkenny","Degrees C","16"
"Average Maximum Temperature","1959M10","Malin head","Degrees C","15.5"
"Average Maximum Temperature","1959M10","Mullingar","Degrees C","15.6"
"Average Maximum Temperature","1959M10","Roches Point","Degrees C","16.1"
"Average Maximum Temperature","1959M10","Rosslare","Degrees C","16"
"Average Maximum Temperature","1959M10","Shannon airport","Degrees C","16.1"
"Average Maximum Temperature","1959M11","Belmullet","Degrees C","10.7"
"Average Maximum Temperature","1959M11","Birr","Degrees C","10.2"
"Average Maximum Temperature","1959M11","Valentia Observatory","Degrees C","11.6"
"Average Maximum Temperature","1959M11","Casement","Degrees C",""
"Average Maximum Temperature","1959M11","Claremorris","Degrees C","9.6"
"Average Maximum Temperature","1959M11","Clones","Degrees C","9.4"
"Average Maximum Temperature","1959M11","Cork airport","Degrees C",""
"Average Maximum Temperature","1959M11","Dublin airport","Degrees C","10.2"
"Average Maximum Temperature","1959M11","Galway","Degrees C",""
"Average Maximum Temperature","1959M11","Kilkenny","Degrees C","10"
