Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Sunshine Hours,1959M03,Valentia Observatory,Number,102.0
Total Sunshine Hours,1959M03,Casement,Number,
Total Sunshine Hours,1959M03,Claremorris,Number,95.8
Total Sunshine Hours,1959M03,Clones,Number,101.0
Total Sunshine Hours,1959M03,Cork airport,Number,
Total Sunshine Hours,1959M03,Dublin airport,Number,112.1
Total Sunshine Hours,1959M03,Galway,Number,
Total Sunshine Hours,1959M03,Kilkenny,Number,98.5
Total Sunshine Hours,1959M03,Malin head,Number,127.9
Total Sunshine Hours,1959M03,Mullingar,Number,107.8
Total Sunshine Hours,1959M03,Roches Point,Number,114.3
Total Sunshine Hours,1959M03,Rosslare,Number,125.8
Total Sunshine Hours,1959M03,Shannon airport,Number,106.3
Total Sunshine Hours,1959M04,Belmullet,Number,148.7
Total Sunshine Hours,1959M04,Birr,Number,138.3
Total Sunshine Hours,1959M04,Valentia Observatory,Number,143.0
Total Sunshine Hours,1959M04,Casement,Number,
Total Sunshine Hours,1959M04,Claremorris,Number,131.1
Total Sunshine Hours,1959M04,Clones,Number,132.0
Total Sunshine Hours,1959M04,Cork airport,Number,
Total Sunshine Hours,1959M04,Dublin airport,Number,152.9
Total Sunshine Hours,1959M04,Galway,Number,
Total Sunshine Hours,1959M04,Kilkenny,Number,132.1
Total Sunshine Hours,1959M04,Malin head,Number,159.6
Total Sunshine Hours,1959M04,Mullingar,Number,144.5
Total Sunshine Hours,1959M04,Roches Point,Number,138.9
Total Sunshine Hours,1959M04,Rosslare,Number,153.4
Total Sunshine Hours,1959M04,Shannon airport,Number,137.9
Total Sunshine Hours,1959M05,Belmullet,Number,261.7
Total Sunshine Hours,1959M05,Birr,Number,234.5
Total Sunshine Hours,1959M05,Valentia Observatory,Number,239.8
Total Sunshine Hours,1959M05,Casement,Number,
Total Sunshine Hours,1959M05,Claremorris,Number,236.0
Total Sunshine Hours,1959M05,Clones,Number,227.4
Total Sunshine Hours,1959M05,Cork airport,Number,
Total Sunshine Hours,1959M05,Dublin airport,Number,236.3
Total Sunshine Hours,1959M05,Galway,Number,
Total Sunshine Hours,1959M05,Kilkenny,Number,237.7
Total Sunshine Hours,1959M05,Malin head,Number,264.5
Total Sunshine Hours,1959M05,Mullingar,Number,235.2
Total Sunshine Hours,1959M05,Roches Point,Number,228.5
Total Sunshine Hours,1959M05,Rosslare,Number,271.7
Total Sunshine Hours,1959M05,Shannon airport,Number,221.8
Total Sunshine Hours,1959M06,Belmullet,Number,198.1
Total Sunshine Hours,1959M06,Birr,Number,238.9
Total Sunshine Hours,1959M06,Valentia Observatory,Number,224.7
Total Sunshine Hours,1959M06,Casement,Number,
Total Sunshine Hours,1959M06,Claremorris,Number,185.7
Total Sunshine Hours,1959M06,Clones,Number,204.6
Total Sunshine Hours,1959M06,Cork airport,Number,
Total Sunshine Hours,1959M06,Dublin airport,Number,240.6
Total Sunshine Hours,1959M06,Galway,Number,
Total Sunshine Hours,1959M06,Kilkenny,Number,267.0
Total Sunshine Hours,1959M06,Malin head,Number,207.0
Total Sunshine Hours,1959M06,Mullingar,Number,234.3
Total Sunshine Hours,1959M06,Roches Point,Number,271.6
Total Sunshine Hours,1959M06,Rosslare,Number,301.0
