,Statistic,Year,Type of Crop,UNIT,VALUE
303,Area under Crops,2002,Sugar beet,000 Hectares,31.3
304,Area under Crops,2002,Fodder beet,000 Hectares,4.1
305,Area under Crops,2002,Kale and field cabbage,000 Hectares,
306,Area under Crops,2003,"Total wheat, oats and barley",000 Hectares,299.9
307,Area under Crops,2003,Total wheat,000 Hectares,95.7
308,Area under Crops,2003,Winter wheat,000 Hectares,60.6
309,Area under Crops,2003,Spring wheat,000 Hectares,35.2
310,Area under Crops,2003,Total oats,000 Hectares,21.0
311,Area under Crops,2003,Winter oats,000 Hectares,9.4
312,Area under Crops,2003,Spring oats,000 Hectares,11.6
313,Area under Crops,2003,Total barley,000 Hectares,183.1
314,Area under Crops,2003,Winter barley,000 Hectares,19.8
315,Area under Crops,2003,Spring barley,000 Hectares,163.3
316,Area under Crops,2003,Beans and peas,000 Hectares,2.9
317,Area under Crops,2003,Oilseed rape,000 Hectares,2.3
318,Area under Crops,2003,Potatoes,000 Hectares,14.2
319,Area under Crops,2003,Turnips,000 Hectares,
320,Area under Crops,2003,Sugar beet,000 Hectares,31.5
321,Area under Crops,2003,Fodder beet,000 Hectares,
322,Area under Crops,2003,Kale and field cabbage,000 Hectares,
323,Area under Crops,2004,"Total wheat, oats and barley",000 Hectares,306.4
324,Area under Crops,2004,Total wheat,000 Hectares,102.7
325,Area under Crops,2004,Winter wheat,000 Hectares,71.5
326,Area under Crops,2004,Spring wheat,000 Hectares,31.2
327,Area under Crops,2004,Total oats,000 Hectares,20.0
328,Area under Crops,2004,Winter oats,000 Hectares,12.9
329,Area under Crops,2004,Spring oats,000 Hectares,7.0
330,Area under Crops,2004,Total barley,000 Hectares,183.7
331,Area under Crops,2004,Winter barley,000 Hectares,20.5
332,Area under Crops,2004,Spring barley,000 Hectares,163.2
333,Area under Crops,2004,Beans and peas,000 Hectares,2.7
334,Area under Crops,2004,Oilseed rape,000 Hectares,2.2
335,Area under Crops,2004,Potatoes,000 Hectares,13.3
336,Area under Crops,2004,Turnips,000 Hectares,
337,Area under Crops,2004,Sugar beet,000 Hectares,31.1
338,Area under Crops,2004,Fodder beet,000 Hectares,
339,Area under Crops,2004,Kale and field cabbage,000 Hectares,
340,Area under Crops,2005,"Total wheat, oats and barley",000 Hectares,276.5
341,Area under Crops,2005,Total wheat,000 Hectares,95.2
342,Area under Crops,2005,Winter wheat,000 Hectares,65.0
343,Area under Crops,2005,Spring wheat,000 Hectares,30.2
344,Area under Crops,2005,Total oats,000 Hectares,16.8
345,Area under Crops,2005,Winter oats,000 Hectares,8.6
346,Area under Crops,2005,Spring oats,000 Hectares,8.2
347,Area under Crops,2005,Total barley,000 Hectares,164.4
348,Area under Crops,2005,Winter barley,000 Hectares,17.0
349,Area under Crops,2005,Spring barley,000 Hectares,147.4
350,Area under Crops,2005,Beans and peas,000 Hectares,3.7
351,Area under Crops,2005,Oilseed rape,000 Hectares,3.7
352,Area under Crops,2005,Potatoes,000 Hectares,11.8
353,Area under Crops,2005,Turnips,000 Hectares,
354,Area under Crops,2005,Sugar beet,000 Hectares,31.0
355,Area under Crops,2005,Fodder beet,000 Hectares,
356,Area under Crops,2005,Kale and field cabbage,000 Hectares,
357,Area under Crops,2006,"Total wheat, oats and barley",000 Hectares,274.9
358,Area under Crops,2006,Total wheat,000 Hectares,87.5
359,Area under Crops,2006,Winter wheat,000 Hectares,59.2
360,Area under Crops,2006,Spring wheat,000 Hectares,28.3
361,Area under Crops,2006,Total oats,000 Hectares,20.4
