Statistic,Month,Meteorological Weather Station,UNIT,VALUE
Total Rainfall,1960M01,Kilkenny,Millimetres,86.8
Total Rainfall,1960M01,Malin head,Millimetres,113.0
Total Rainfall,1960M01,Mullingar,Millimetres,96.5
Total Rainfall,1960M01,Roches Point,Millimetres,92.5
Total Rainfall,1960M01,Rosslare,Millimetres,98.0
Total Rainfall,1960M01,Shannon airport,Millimetres,83.1
Total Rainfall,1960M02,Belmullet,Millimetres,91.6
Total Rainfall,1960M02,Birr,Millimetres,44.5
Total Rainfall,1960M02,Valentia Observatory,Millimetres,135.2
Total Rainfall,1960M02,Casement,Millimetres,
Total Rainfall,1960M02,Claremorris,Millimetres,89.2
Total Rainfall,1960M02,Clones,Millimetres,80.5
Total Rainfall,1960M02,Cork airport,Millimetres,
Total Rainfall,1960M02,Dublin airport,Millimetres,35.2
Total Rainfall,1960M02,Galway,Millimetres,
Total Rainfall,1960M02,Kilkenny,Millimetres,61.4
Total Rainfall,1960M02,Malin head,Millimetres,102.9
Total Rainfall,1960M02,Mullingar,Millimetres,53.2
Total Rainfall,1960M02,Roches Point,Millimetres,82.4
Total Rainfall,1960M02,Rosslare,Millimetres,97.1
Total Rainfall,1960M02,Shannon airport,Millimetres,47.2
Total Rainfall,1960M03,Belmullet,Millimetres,69.0
Total Rainfall,1960M03,Birr,Millimetres,42.6
Total Rainfall,1960M03,Valentia Observatory,Millimetres,122.9
Total Rainfall,1960M03,Casement,Millimetres,
Total Rainfall,1960M03,Claremorris,Millimetres,47.4
Total Rainfall,1960M03,Clones,Millimetres,41.9
Total Rainfall,1960M03,Cork airport,Millimetres,
Total Rainfall,1960M03,Dublin airport,Millimetres,97.2
Total Rainfall,1960M03,Galway,Millimetres,
Total Rainfall,1960M03,Kilkenny,Millimetres,60.2
Total Rainfall,1960M03,Malin head,Millimetres,44.4
Total Rainfall,1960M03,Mullingar,Millimetres,49.3
Total Rainfall,1960M03,Roches Point,Millimetres,102.9
Total Rainfall,1960M03,Rosslare,Millimetres,62.5
Total Rainfall,1960M03,Shannon airport,Millimetres,44.7
Total Rainfall,1960M04,Belmullet,Millimetres,66.8
Total Rainfall,1960M04,Birr,Millimetres,59.3
Total Rainfall,1960M04,Valentia Observatory,Millimetres,102.8
Total Rainfall,1960M04,Casement,Millimetres,
Total Rainfall,1960M04,Claremorris,Millimetres,95.6
Total Rainfall,1960M04,Clones,Millimetres,65.7
Total Rainfall,1960M04,Cork airport,Millimetres,
Total Rainfall,1960M04,Dublin airport,Millimetres,27.2
Total Rainfall,1960M04,Galway,Millimetres,
Total Rainfall,1960M04,Kilkenny,Millimetres,66.4
Total Rainfall,1960M04,Malin head,Millimetres,54.1
Total Rainfall,1960M04,Mullingar,Millimetres,72.6
Total Rainfall,1960M04,Roches Point,Millimetres,45.6
Total Rainfall,1960M04,Rosslare,Millimetres,69.1
Total Rainfall,1960M04,Shannon airport,Millimetres,70.6
Total Rainfall,1960M05,Belmullet,Millimetres,56.1
Total Rainfall,1960M05,Birr,Millimetres,68.9
Total Rainfall,1960M05,Valentia Observatory,Millimetres,84.5
Total Rainfall,1960M05,Casement,Millimetres,
Total Rainfall,1960M05,Claremorris,Millimetres,54.4
Total Rainfall,1960M05,Clones,Millimetres,69.7
Total Rainfall,1960M05,Cork airport,Millimetres,
Total Rainfall,1960M05,Dublin airport,Millimetres,52.4
Total Rainfall,1960M05,Galway,Millimetres,
Total Rainfall,1960M05,Kilkenny,Millimetres,69.4
Total Rainfall,1960M05,Malin head,Millimetres,59.8
Total Rainfall,1960M05,Mullingar,Millimetres,69.4
Total Rainfall,1960M05,Roches Point,Millimetres,69.5
Total Rainfall,1960M05,Rosslare,Millimetres,36.1
Total Rainfall,1960M05,Shannon airport,Millimetres,109.4
Total Rainfall,1960M06,Belmullet,Millimetres,89.5
Total Rainfall,1960M06,Birr,Millimetres,78.7
Total Rainfall,1960M06,Valentia Observatory,Millimetres,68.6
Total Rainfall,1960M06,Casement,Millimetres,
Total Rainfall,1960M06,Claremorris,Millimetres,114.3
Total Rainfall,1960M06,Clones,Millimetres,95.8
Total Rainfall,1960M06,Cork airport,Millimetres,
Total Rainfall,1960M06,Dublin airport,Millimetres,51.1
Total Rainfall,1960M06,Galway,Millimetres,
Total Rainfall,1960M06,Kilkenny,Millimetres,67.0
Total Rainfall,1960M06,Malin head,Millimetres,79.4
Total Rainfall,1960M06,Mullingar,Millimetres,92.1
Total Rainfall,1960M06,Roches Point,Millimetres,69.0
Total Rainfall,1960M06,Rosslare,Millimetres,37.7
Total Rainfall,1960M06,Shannon airport,Millimetres,80.2
Total Rainfall,1960M07,Belmullet,Millimetres,112.9
Total Rainfall,1960M07,Birr,Millimetres,145.4
Total Rainfall,1960M07,Valentia Observatory,Millimetres,174.5
Total Rainfall,1960M07,Casement,Millimetres,
Total Rainfall,1960M07,Claremorris,Millimetres,127.3
Total Rainfall,1960M07,Clones,Millimetres,114.1
Total Rainfall,1960M07,Cork airport,Millimetres,
Total Rainfall,1960M07,Dublin airport,Millimetres,139.8
Total Rainfall,1960M07,Galway,Millimetres,
Total Rainfall,1960M07,Kilkenny,Millimetres,138.8
Total Rainfall,1960M07,Malin head,Millimetres,129.5
Total Rainfall,1960M07,Mullingar,Millimetres,157.5
Total Rainfall,1960M07,Roches Point,Millimetres,113.9
Total Rainfall,1960M07,Rosslare,Millimetres,103.2
Total Rainfall,1960M07,Shannon airport,Millimetres,121.0
Total Rainfall,1960M08,Belmullet,Millimetres,84.3
Total Rainfall,1960M08,Birr,Millimetres,111.3
Total Rainfall,1960M08,Valentia Observatory,Millimetres,60.0
Total Rainfall,1960M08,Casement,Millimetres,
Total Rainfall,1960M08,Claremorris,Millimetres,113.2
Total Rainfall,1960M08,Clones,Millimetres,135.9
Total Rainfall,1960M08,Cork airport,Millimetres,
Total Rainfall,1960M08,Dublin airport,Millimetres,86.3
Total Rainfall,1960M08,Galway,Millimetres,
Total Rainfall,1960M08,Kilkenny,Millimetres,86.2
Total Rainfall,1960M08,Malin head,Millimetres,103.4
Total Rainfall,1960M08,Mullingar,Millimetres,95.6
Total Rainfall,1960M08,Roches Point,Millimetres,103.7
Total Rainfall,1960M08,Rosslare,Millimetres,77.3
Total Rainfall,1960M08,Shannon airport,Millimetres,82.9
Total Rainfall,1960M09,Belmullet,Millimetres,105.2
Total Rainfall,1960M09,Birr,Millimetres,130.3
Total Rainfall,1960M09,Valentia Observatory,Millimetres,162.9
Total Rainfall,1960M09,Casement,Millimetres,
Total Rainfall,1960M09,Claremorris,Millimetres,86.6
Total Rainfall,1960M09,Clones,Millimetres,87.5
Total Rainfall,1960M09,Cork airport,Millimetres,
Total Rainfall,1960M09,Dublin airport,Millimetres,81.2
Total Rainfall,1960M09,Galway,Millimetres,
Total Rainfall,1960M09,Kilkenny,Millimetres,105.8
Total Rainfall,1960M09,Malin head,Millimetres,64.1
Total Rainfall,1960M09,Mullingar,Millimetres,102.8
