,p_adj,unit,geotime,product,year,priceIDX
480,NI,I15,ES,029900,2021,
481,NI,I15,EU27_2020,029900,2021,
482,NI,I15,EU28,029900,2021,
483,NI,I15,HU,029900,2021,
484,NI,I15,LV,029900,2021,
485,NI,I15,PT,029900,2021,
486,NI,I15,SE,029900,2021,
487,NI,I15,UK,029900,2021,
488,NI,I15,AT,030000,2021,117.2
489,NI,I15,BE,030000,2021,138.33
490,NI,I15,BG,030000,2021,95.53
491,NI,I15,CY,030000,2021,134.25
492,NI,I15,CZ,030000,2021,110.3
493,NI,I15,DK,030000,2021,99.32
494,NI,I15,EE,030000,2021,121.6
495,NI,I15,EL,030000,2021,89.04
496,NI,I15,ES,030000,2021,97.44
497,NI,I15,EU27_2020,030000,2021,
498,NI,I15,EU28,030000,2021,
499,NI,I15,FI,030000,2021,96.33
500,NI,I15,FR,030000,2021,125.97
501,NI,I15,HR,030000,2021,112.27
502,NI,I15,HU,030000,2021,135.29
503,NI,I15,IT,030000,2021,143.7
504,NI,I15,LV,030000,2021,101.37
505,NI,I15,MT,030000,2021,101.83
506,NI,I15,NL,030000,2021,121.8
507,NI,I15,PL,030000,2021,
508,NI,I15,PT,030000,2021,125.1
509,NI,I15,RO,030000,2021,130.45
510,NI,I15,SE,030000,2021,129.44
511,NI,I15,UK,030000,2021,
512,NI,I15,BG,031000,2021,
513,NI,I15,CY,031000,2021,
514,NI,I15,CZ,031000,2021,
515,NI,I15,DK,031000,2021,
516,NI,I15,EU27_2020,031000,2021,
517,NI,I15,EU28,031000,2021,
518,NI,I15,HR,031000,2021,
519,NI,I15,IT,031000,2021,
520,NI,I15,NL,031000,2021,
521,NI,I15,RO,031000,2021,
522,NI,I15,EU27_2020,032000,2021,
523,NI,I15,EU28,032000,2021,
524,NI,I15,LV,032000,2021,
525,NI,I15,RO,032000,2021,
526,NI,I15,AT,039000,2021,
527,NI,I15,BE,039000,2021,
528,NI,I15,BG,039000,2021,
529,NI,I15,CY,039000,2021,
530,NI,I15,DK,039000,2021,
531,NI,I15,EE,039000,2021,
532,NI,I15,EL,039000,2021,
533,NI,I15,ES,039000,2021,
534,NI,I15,EU27_2020,039000,2021,
535,NI,I15,EU28,039000,2021,
536,NI,I15,FI,039000,2021,
537,NI,I15,FR,039000,2021,
538,NI,I15,HR,039000,2021,
539,NI,I15,HU,039000,2021,
540,NI,I15,IT,039000,2021,
