"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Tests on Animals","2017Q2","Longford","Number","67769"
"Tests on Animals","2017Q2","Louth","Number","54522"
"Tests on Animals","2017Q2","Mayo","Number","161843"
"Tests on Animals","2017Q2","Meath","Number","206820"
"Tests on Animals","2017Q2","Monaghan","Number","145205"
"Tests on Animals","2017Q2","Offaly","Number","140260"
"Tests on Animals","2017Q2","Roscommon","Number","122973"
"Tests on Animals","2017Q2","Sligo","Number","72116"
"Tests on Animals","2017Q2","Tipperary North","Number","200493"
"Tests on Animals","2017Q2","Tipperary South","Number","175195"
"Tests on Animals","2017Q2","Waterford","Number","134461"
"Tests on Animals","2017Q2","Westmeath","Number","135507"
"Tests on Animals","2017Q2","Wexford","Number","175445"
"Tests on Animals","2017Q2","Wicklow E","Number","59232"
"Tests on Animals","2017Q2","Wicklow W","Number","29562"
"Tests on Animals","2017Q3","State","Number","6584064"
"Tests on Animals","2017Q3","Carlow","Number","96150"
"Tests on Animals","2017Q3","Cavan","Number","251046"
"Tests on Animals","2017Q3","Clare","Number","290412"
"Tests on Animals","2017Q3","Cork North","Number","530971"
"Tests on Animals","2017Q3","Cork South","Number","467462"
"Tests on Animals","2017Q3","Donegal","Number","159781"
"Tests on Animals","2017Q3","Dublin","Number","23421"
"Tests on Animals","2017Q3","Galway","Number","390771"
"Tests on Animals","2017Q3","Kerry","Number","339492"
"Tests on Animals","2017Q3","Kildare","Number","109045"
"Tests on Animals","2017Q3","Kilkenny","Number","327601"
"Tests on Animals","2017Q3","Laois","Number","223554"
"Tests on Animals","2017Q3","Leitrim","Number","73717"
"Tests on Animals","2017Q3","Limerick","Number","383696"
"Tests on Animals","2017Q3","Longford","Number","101925"
"Tests on Animals","2017Q3","Louth","Number","83094"
"Tests on Animals","2017Q3","Mayo","Number","260851"
"Tests on Animals","2017Q3","Meath","Number","300238"
"Tests on Animals","2017Q3","Monaghan","Number","216732"
"Tests on Animals","2017Q3","Offaly","Number","213874"
"Tests on Animals","2017Q3","Roscommon","Number","190933"
"Tests on Animals","2017Q3","Sligo","Number","109997"
"Tests on Animals","2017Q3","Tipperary North","Number","306426"
"Tests on Animals","2017Q3","Tipperary South","Number","294567"
"Tests on Animals","2017Q3","Waterford","Number","214408"
"Tests on Animals","2017Q3","Westmeath","Number","208972"
"Tests on Animals","2017Q3","Wexford","Number","277248"
"Tests on Animals","2017Q3","Wicklow E","Number","91220"
"Tests on Animals","2017Q3","Wicklow W","Number","46460"
"Tests on Animals","2017Q4","State","Number","8882933"
"Tests on Animals","2017Q4","Carlow","Number","125317"
"Tests on Animals","2017Q4","Cavan","Number","335870"
"Tests on Animals","2017Q4","Clare","Number","376122"
"Tests on Animals","2017Q4","Cork North","Number","737432"
"Tests on Animals","2017Q4","Cork South","Number","648076"
"Tests on Animals","2017Q4","Donegal","Number","212312"
"Tests on Animals","2017Q4","Dublin","Number","29983"
"Tests on Animals","2017Q4","Galway","Number","519155"
"Tests on Animals","2017Q4","Kerry","Number","448489"
"Tests on Animals","2017Q4","Kildare","Number","153045"
"Tests on Animals","2017Q4","Kilkenny","Number","449898"
"Tests on Animals","2017Q4","Laois","Number","306618"
"Tests on Animals","2017Q4","Leitrim","Number","93300"
"Tests on Animals","2017Q4","Limerick","Number","513342"
"Tests on Animals","2017Q4","Longford","Number","131474"
"Tests on Animals","2017Q4","Louth","Number","107314"
"Tests on Animals","2017Q4","Mayo","Number","329714"
"Tests on Animals","2017Q4","Meath","Number","406634"
"Tests on Animals","2017Q4","Monaghan","Number","295948"
"Tests on Animals","2017Q4","Offaly","Number","296625"
"Tests on Animals","2017Q4","Roscommon","Number","251964"
"Tests on Animals","2017Q4","Sligo","Number","136865"
"Tests on Animals","2017Q4","Tipperary North","Number","420633"
"Tests on Animals","2017Q4","Tipperary South","Number","396451"
"Tests on Animals","2017Q4","Waterford","Number","297173"
"Tests on Animals","2017Q4","Westmeath","Number","292352"
"Tests on Animals","2017Q4","Wexford","Number","385191"
"Tests on Animals","2017Q4","Wicklow E","Number","119893"
"Tests on Animals","2017Q4","Wicklow W","Number","65743"
"Tests on Animals","2018Q1","State","Number","1883429"
"Tests on Animals","2018Q1","Carlow","Number","25756"
"Tests on Animals","2018Q1","Cavan","Number","80608"
"Tests on Animals","2018Q1","Clare","Number","76631"
"Tests on Animals","2018Q1","Cork North","Number","134724"
"Tests on Animals","2018Q1","Cork South","Number","123279"
"Tests on Animals","2018Q1","Donegal","Number","44423"
"Tests on Animals","2018Q1","Dublin","Number","8571"
"Tests on Animals","2018Q1","Galway","Number","107980"
"Tests on Animals","2018Q1","Kerry","Number","84314"
"Tests on Animals","2018Q1","Kildare","Number","42740"
"Tests on Animals","2018Q1","Kilkenny","Number","80147"
"Tests on Animals","2018Q1","Laois","Number","68126"
"Tests on Animals","2018Q1","Leitrim","Number","25070"
"Tests on Animals","2018Q1","Limerick","Number","105096"
"Tests on Animals","2018Q1","Longford","Number","34386"
"Tests on Animals","2018Q1","Louth","Number","21996"
"Tests on Animals","2018Q1","Mayo","Number","77849"
"Tests on Animals","2018Q1","Meath","Number","97880"
"Tests on Animals","2018Q1","Monaghan","Number","79319"
"Tests on Animals","2018Q1","Offaly","Number","64288"
"Tests on Animals","2018Q1","Roscommon","Number","61649"
"Tests on Animals","2018Q1","Sligo","Number","32479"
"Tests on Animals","2018Q1","Tipperary North","Number","91330"
"Tests on Animals","2018Q1","Tipperary South","Number","71818"
"Tests on Animals","2018Q1","Waterford","Number","60743"
"Tests on Animals","2018Q1","Westmeath","Number","65750"
"Tests on Animals","2018Q1","Wexford","Number","78825"
"Tests on Animals","2018Q1","Wicklow E","Number","24881"
"Tests on Animals","2018Q1","Wicklow W","Number","12771"
"Tests on Animals","2018Q2","State","Number","1883429"
"Tests on Animals","2018Q2","Carlow","Number","25756"
"Tests on Animals","2018Q2","Cavan","Number","80608"
"Tests on Animals","2018Q2","Clare","Number","76631"
"Tests on Animals","2018Q2","Cork North","Number","134724"
"Tests on Animals","2018Q2","Cork South","Number","123279"
"Tests on Animals","2018Q2","Donegal","Number","44423"
"Tests on Animals","2018Q2","Dublin","Number","8571"
"Tests on Animals","2018Q2","Galway","Number","107980"
"Tests on Animals","2018Q2","Kerry","Number","84314"
"Tests on Animals","2018Q2","Kildare","Number","42740"
"Tests on Animals","2018Q2","Kilkenny","Number","80147"
"Tests on Animals","2018Q2","Laois","Number","68126"
"Tests on Animals","2018Q2","Leitrim","Number","25070"
"Tests on Animals","2018Q2","Limerick","Number","105096"
"Tests on Animals","2018Q2","Longford","Number","34386"
"Tests on Animals","2018Q2","Louth","Number","21996"
"Tests on Animals","2018Q2","Mayo","Number","77849"
"Tests on Animals","2018Q2","Meath","Number","97880"
"Tests on Animals","2018Q2","Monaghan","Number","79319"
"Tests on Animals","2018Q2","Offaly","Number","64288"
"Tests on Animals","2018Q2","Roscommon","Number","61649"
"Tests on Animals","2018Q2","Sligo","Number","32479"
"Tests on Animals","2018Q2","Tipperary North","Number","91330"
"Tests on Animals","2018Q2","Tipperary South","Number","71818"
"Tests on Animals","2018Q2","Waterford","Number","60743"
"Tests on Animals","2018Q2","Westmeath","Number","65750"
"Tests on Animals","2018Q2","Wexford","Number","78825"
"Tests on Animals","2018Q2","Wicklow E","Number","24881"
"Tests on Animals","2018Q2","Wicklow W","Number","12771"
"Tests on Animals","2018Q3","State","Number","6536859"
"Tests on Animals","2018Q3","Carlow","Number","90624"
"Tests on Animals","2018Q3","Cavan","Number","246502"
"Tests on Animals","2018Q3","Clare","Number","286329"
"Tests on Animals","2018Q3","Cork North","Number","563748"
"Tests on Animals","2018Q3","Cork South","Number","440606"
"Tests on Animals","2018Q3","Donegal","Number","145412"
"Tests on Animals","2018Q3","Dublin","Number","24376"
"Tests on Animals","2018Q3","Galway","Number","391689"
"Tests on Animals","2018Q3","Kerry","Number","326857"
"Tests on Animals","2018Q3","Kildare","Number","110079"
"Tests on Animals","2018Q3","Kilkenny","Number","301237"
"Tests on Animals","2018Q3","Laois","Number","218139"
"Tests on Animals","2018Q3","Leitrim","Number","68498"
"Tests on Animals","2018Q3","Limerick","Number","367826"
"Tests on Animals","2018Q3","Longford","Number","102150"
"Tests on Animals","2018Q3","Louth","Number","83010"
"Tests on Animals","2018Q3","Mayo","Number","262069"
"Tests on Animals","2018Q3","Meath","Number","295495"
"Tests on Animals","2018Q3","Monaghan","Number","255900"
"Tests on Animals","2018Q3","Offaly","Number","214055"
"Tests on Animals","2018Q3","Roscommon","Number","186451"
"Tests on Animals","2018Q3","Sligo","Number","109445"
"Tests on Animals","2018Q3","Tipperary North","Number","319952"
"Tests on Animals","2018Q3","Tipperary South","Number","286391"
"Tests on Animals","2018Q3","Waterford","Number","221380"
"Tests on Animals","2018Q3","Westmeath","Number","208601"
"Tests on Animals","2018Q3","Wexford","Number","270297"
"Tests on Animals","2018Q3","Wicklow E","Number","92090"
"Tests on Animals","2018Q3","Wicklow W","Number","47651"
"Tests on Animals","2018Q4","State","Number","8869856"
"Tests on Animals","2018Q4","Carlow","Number","122158"
"Tests on Animals","2018Q4","Cavan","Number","329223"
"Tests on Animals","2018Q4","Clare","Number","374578"
"Tests on Animals","2018Q4","Cork North","Number","784284"
"Tests on Animals","2018Q4","Cork South","Number","609574"
"Tests on Animals","2018Q4","Donegal","Number","200069"
"Tests on Animals","2018Q4","Dublin","Number","32680"
"Tests on Animals","2018Q4","Galway","Number","519150"
"Tests on Animals","2018Q4","Kerry","Number","441446"
"Tests on Animals","2018Q4","Kildare","Number","154612"
"Tests on Animals","2018Q4","Kilkenny","Number","414922"
"Tests on Animals","2018Q4","Laois","Number","301949"
"Tests on Animals","2018Q4","Leitrim","Number","86623"
"Tests on Animals","2018Q4","Limerick","Number","495950"
"Tests on Animals","2018Q4","Longford","Number","136359"
"Tests on Animals","2018Q4","Louth","Number","107076"
"Tests on Animals","2018Q4","Mayo","Number","334547"
"Tests on Animals","2018Q4","Meath","Number","393511"
"Tests on Animals","2018Q4","Monaghan","Number","373846"
"Tests on Animals","2018Q4","Offaly","Number","298237"
"Tests on Animals","2018Q4","Roscommon","Number","246291"
"Tests on Animals","2018Q4","Sligo","Number","139664"
"Tests on Animals","2018Q4","Tipperary North","Number","435034"
"Tests on Animals","2018Q4","Tipperary South","Number","389821"
"Tests on Animals","2018Q4","Waterford","Number","302544"
"Tests on Animals","2018Q4","Westmeath","Number","285228"
"Tests on Animals","2018Q4","Wexford","Number","371229"
"Tests on Animals","2018Q4","Wicklow E","Number","123485"
"Tests on Animals","2018Q4","Wicklow W","Number","65766"
"Tests on Animals","2019Q1","State","Number","1934423"
"Tests on Animals","2019Q1","Carlow","Number","30480"
"Tests on Animals","2019Q1","Cavan","Number","79415"
"Tests on Animals","2019Q1","Clare","Number","81643"
"Tests on Animals","2019Q1","Cork North","Number","145860"
"Tests on Animals","2019Q1","Cork South","Number","104892"
"Tests on Animals","2019Q1","Donegal","Number","49865"
"Tests on Animals","2019Q1","Dublin","Number","6582"
"Tests on Animals","2019Q1","Galway","Number","106635"
"Tests on Animals","2019Q1","Kerry","Number","90173"
"Tests on Animals","2019Q1","Kildare","Number","38652"
"Tests on Animals","2019Q1","Kilkenny","Number","92601"
"Tests on Animals","2019Q1","Laois","Number","69019"
"Tests on Animals","2019Q1","Leitrim","Number","23280"
"Tests on Animals","2019Q1","Limerick","Number","99335"
"Tests on Animals","2019Q1","Longford","Number","32935"
"Tests on Animals","2019Q1","Louth","Number","26229"
"Tests on Animals","2019Q1","Mayo","Number","77702"
"Tests on Animals","2019Q1","Meath","Number","97384"
"Tests on Animals","2019Q1","Monaghan","Number","101900"
"Tests on Animals","2019Q1","Offaly","Number","70350"
"Tests on Animals","2019Q1","Roscommon","Number","62751"
"Tests on Animals","2019Q1","Sligo","Number","33031"
"Tests on Animals","2019Q1","Tipperary North","Number","92248"
"Tests on Animals","2019Q1","Tipperary South","Number","71811"
"Tests on Animals","2019Q1","Waterford","Number","54936"
"Tests on Animals","2019Q1","Westmeath","Number","67754"
"Tests on Animals","2019Q1","Wexford","Number","83330"
"Tests on Animals","2019Q1","Wicklow E","Number","30298"
"Tests on Animals","2019Q1","Wicklow W","Number","13332"
"Tests on Animals","2019Q2","State","Number","4304854"
"Tests on Animals","2019Q2","Carlow","Number","64589"
"Tests on Animals","2019Q2","Cavan","Number","166489"
"Tests on Animals","2019Q2","Clare","Number","188262"
"Tests on Animals","2019Q2","Cork North","Number","356243"
"Tests on Animals","2019Q2","Cork South","Number","264352"
"Tests on Animals","2019Q2","Donegal","Number","104865"
"Tests on Animals","2019Q2","Dublin","Number","13874"
"Tests on Animals","2019Q2","Galway","Number","253484"
"Tests on Animals","2019Q2","Kerry","Number","216676"
"Tests on Animals","2019Q2","Kildare","Number","77588"
"Tests on Animals","2019Q2","Kilkenny","Number","192742"
"Tests on Animals","2019Q2","Laois","Number","152991"
"Tests on Animals","2019Q2","Leitrim","Number","47568"
"Tests on Animals","2019Q2","Limerick","Number","232455"
"Tests on Animals","2019Q2","Longford","Number","66061"
"Tests on Animals","2019Q2","Louth","Number","58273"
"Tests on Animals","2019Q2","Mayo","Number","164951"
"Tests on Animals","2019Q2","Meath","Number","206866"
"Tests on Animals","2019Q2","Monaghan","Number","203100"
"Tests on Animals","2019Q2","Offaly","Number","144736"
"Tests on Animals","2019Q2","Roscommon","Number","129139"
"Tests on Animals","2019Q2","Sligo","Number","71324"
"Tests on Animals","2019Q2","Tipperary North","Number","207054"
"Tests on Animals","2019Q2","Tipperary South","Number","177430"
"Tests on Animals","2019Q2","Waterford","Number","125201"
"Tests on Animals","2019Q2","Westmeath","Number","135840"
"Tests on Animals","2019Q2","Wexford","Number","189765"
"Tests on Animals","2019Q2","Wicklow E","Number","63108"
"Tests on Animals","2019Q2","Wicklow W","Number","29828"
"Tests on Animals","2019Q3","State","Number","6492294"
"Tests on Animals","2019Q3","Carlow","Number","93930"
"Tests on Animals","2019Q3","Cavan","Number","243450"
"Tests on Animals","2019Q3","Clare","Number","283215"
"Tests on Animals","2019Q3","Cork North","Number","567856"
"Tests on Animals","2019Q3","Cork South","Number","417002"
"Tests on Animals","2019Q3","Donegal","Number","154226"
"Tests on Animals","2019Q3","Dublin","Number","19550"
"Tests on Animals","2019Q3","Galway","Number","390779"
"Tests on Animals","2019Q3","Kerry","Number","327972"
"Tests on Animals","2019Q3","Kildare","Number","104396"
"Tests on Animals","2019Q3","Kilkenny","Number","301497"
"Tests on Animals","2019Q3","Laois","Number","218140"
"Tests on Animals","2019Q3","Leitrim","Number","68972"
"Tests on Animals","2019Q3","Limerick","Number","364838"
"Tests on Animals","2019Q3","Longford","Number","95805"
"Tests on Animals","2019Q3","Louth","Number","84614"
"Tests on Animals","2019Q3","Mayo","Number","247702"
"Tests on Animals","2019Q3","Meath","Number","291120"
"Tests on Animals","2019Q3","Monaghan","Number","304091"
"Tests on Animals","2019Q3","Offaly","Number","213593"
"Tests on Animals","2019Q3","Roscommon","Number","191074"
"Tests on Animals","2019Q3","Sligo","Number","105875"
"Tests on Animals","2019Q3","Tipperary North","Number","301440"
"Tests on Animals","2019Q3","Tipperary South","Number","280160"
"Tests on Animals","2019Q3","Waterford","Number","203765"
"Tests on Animals","2019Q3","Westmeath","Number","194250"
"Tests on Animals","2019Q3","Wexford","Number","286088"
"Tests on Animals","2019Q3","Wicklow E","Number","94072"
"Tests on Animals","2019Q3","Wicklow W","Number","42822"
"Tests on Animals","2019Q4","State","Number","8827682"
"Tests on Animals","2019Q4","Carlow","Number","123760"
"Tests on Animals","2019Q4","Cavan","Number","332460"
"Tests on Animals","2019Q4","Clare","Number","375832"
"Tests on Animals","2019Q4","Cork North","Number","798849"
"Tests on Animals","2019Q4","Cork South","Number","580538"
"Tests on Animals","2019Q4","Donegal","Number","210692"
"Tests on Animals","2019Q4","Dublin","Number","27711"
"Tests on Animals","2019Q4","Galway","Number","524570"
"Tests on Animals","2019Q4","Kerry","Number","435906"
"Tests on Animals","2019Q4","Kildare","Number","146165"
"Tests on Animals","2019Q4","Kilkenny","Number","419001"
"Tests on Animals","2019Q4","Laois","Number","305448"
"Tests on Animals","2019Q4","Leitrim","Number","89280"
"Tests on Animals","2019Q4","Limerick","Number","492196"
"Tests on Animals","2019Q4","Longford","Number","128903"
"Tests on Animals","2019Q4","Louth","Number","107324"
"Tests on Animals","2019Q4","Mayo","Number","320106"
"Tests on Animals","2019Q4","Meath","Number","386790"
"Tests on Animals","2019Q4","Monaghan","Number","406183"
"Tests on Animals","2019Q4","Offaly","Number","294330"
"Tests on Animals","2019Q4","Roscommon","Number","249728"
"Tests on Animals","2019Q4","Sligo","Number","136966"
"Tests on Animals","2019Q4","Tipperary North","Number","414657"
"Tests on Animals","2019Q4","Tipperary South","Number","386916"
"Tests on Animals","2019Q4","Waterford","Number","281986"
"Tests on Animals","2019Q4","Westmeath","Number","273827"
"Tests on Animals","2019Q4","Wexford","Number","388119"
"Tests on Animals","2019Q4","Wicklow E","Number","127565"
"Tests on Animals","2019Q4","Wicklow W","Number","61874"
"Tests on Animals","2020Q1","State","Number","1899274"
"Tests on Animals","2020Q1","Carlow","Number","29502"
"Tests on Animals","2020Q1","Cavan","Number","77864"
"Tests on Animals","2020Q1","Clare","Number","82979"
"Tests on Animals","2020Q1","Cork North","Number","157276"
"Tests on Animals","2020Q1","Cork South","Number","107327"
"Tests on Animals","2020Q1","Donegal","Number","49046"
"Tests on Animals","2020Q1","Dublin","Number","6332"
"Tests on Animals","2020Q1","Galway","Number","112146"
"Tests on Animals","2020Q1","Kerry","Number","90622"
"Tests on Animals","2020Q1","Kildare","Number","37907"
"Tests on Animals","2020Q1","Kilkenny","Number","90520"
"Tests on Animals","2020Q1","Laois","Number","68020"
"Tests on Animals","2020Q1","Leitrim","Number","22324"
"Tests on Animals","2020Q1","Limerick","Number","98288"
"Tests on Animals","2020Q1","Longford","Number","34573"
"Tests on Animals","2020Q1","Louth","Number","27605"
"Tests on Animals","2020Q1","Mayo","Number","75881"
"Tests on Animals","2020Q1","Meath","Number","92961"
"Tests on Animals","2020Q1","Monaghan","Number","75369"
"Tests on Animals","2020Q1","Offaly","Number","67577"
"Tests on Animals","2020Q1","Roscommon","Number","55997"
"Tests on Animals","2020Q1","Sligo","Number","31267"
"Tests on Animals","2020Q1","Tipperary North","Number","81434"
"Tests on Animals","2020Q1","Tipperary South","Number","78849"
"Tests on Animals","2020Q1","Waterford","Number","54838"
"Tests on Animals","2020Q1","Westmeath","Number","68692"
"Tests on Animals","2020Q1","Wexford","Number","82600"
"Tests on Animals","2020Q1","Wicklow E","Number","28480"
"Tests on Animals","2020Q1","Wicklow W","Number","12998"
"Tests on Animals","2020Q2","State","Number","4139196"
"Tests on Animals","2020Q2","Carlow","Number","61250"
"Tests on Animals","2020Q2","Cavan","Number","159217"
"Tests on Animals","2020Q2","Clare","Number","184450"
"Tests on Animals","2020Q2","Cork North","Number","362514"
"Tests on Animals","2020Q2","Cork South","Number","255777"
"Tests on Animals","2020Q2","Donegal","Number","103579"
"Tests on Animals","2020Q2","Dublin","Number","12024"
"Tests on Animals","2020Q2","Galway","Number","254924"
"Tests on Animals","2020Q2","Kerry","Number","205387"
"Tests on Animals","2020Q2","Kildare","Number","72277"
"Tests on Animals","2020Q2","Kilkenny","Number","183791"
"Tests on Animals","2020Q2","Laois","Number","141527"
"Tests on Animals","2020Q2","Leitrim","Number","47969"
"Tests on Animals","2020Q2","Limerick","Number","218415"
"Tests on Animals","2020Q2","Longford","Number","68837"
"Tests on Animals","2020Q2","Louth","Number","61617"
"Tests on Animals","2020Q2","Mayo","Number","164702"
"Tests on Animals","2020Q2","Meath","Number","201448"
"Tests on Animals","2020Q2","Monaghan","Number","160702"
"Tests on Animals","2020Q2","Offaly","Number","137757"
"Tests on Animals","2020Q2","Roscommon","Number","120300"
"Tests on Animals","2020Q2","Sligo","Number","65406"
"Tests on Animals","2020Q2","Tipperary North","Number","187747"
"Tests on Animals","2020Q2","Tipperary South","Number","178698"
"Tests on Animals","2020Q2","Waterford","Number","116968"
"Tests on Animals","2020Q2","Westmeath","Number","141867"
"Tests on Animals","2020Q2","Wexford","Number","171432"
"Tests on Animals","2020Q2","Wicklow E","Number","64376"
"Tests on Animals","2020Q2","Wicklow W","Number","34238"
"Tests on Animals","2020Q3","State","Number","6541944"
"Tests on Animals","2020Q3","Carlow","Number","88764"
"Tests on Animals","2020Q3","Cavan","Number","249586"
"Tests on Animals","2020Q3","Clare","Number","292726"
"Tests on Animals","2020Q3","Cork North","Number","610323"
"Tests on Animals","2020Q3","Cork South","Number","415260"
"Tests on Animals","2020Q3","Donegal","Number","157085"
"Tests on Animals","2020Q3","Dublin","Number","17674"
"Tests on Animals","2020Q3","Galway","Number","400926"
"Tests on Animals","2020Q3","Kerry","Number","328977"
"Tests on Animals","2020Q3","Kildare","Number","105400"
"Tests on Animals","2020Q3","Kilkenny","Number","297129"
"Tests on Animals","2020Q3","Laois","Number","209723"
"Tests on Animals","2020Q3","Leitrim","Number","70373"
"Tests on Animals","2020Q3","Limerick","Number","361938"
"Tests on Animals","2020Q3","Longford","Number","102411"
"Tests on Animals","2020Q3","Louth","Number","95769"
"Tests on Animals","2020Q3","Mayo","Number","250041"
"Tests on Animals","2020Q3","Meath","Number","306295"
"Tests on Animals","2020Q3","Monaghan","Number","250667"
"Tests on Animals","2020Q3","Offaly","Number","214966"
"Tests on Animals","2020Q3","Roscommon","Number","185470"
"Tests on Animals","2020Q3","Sligo","Number","98806"
"Tests on Animals","2020Q3","Tipperary North","Number","304433"
"Tests on Animals","2020Q3","Tipperary South","Number","297184"
"Tests on Animals","2020Q3","Waterford","Number","201200"
"Tests on Animals","2020Q3","Westmeath","Number","214571"
"Tests on Animals","2020Q3","Wexford","Number","264798"
"Tests on Animals","2020Q3","Wicklow E","Number","98737"
"Tests on Animals","2020Q3","Wicklow W","Number","50712"
"Tests on Animals","2020Q4","State","Number","9086934"
"Tests on Animals","2020Q4","Carlow","Number","123642"
"Tests on Animals","2020Q4","Cavan","Number","355293"
"Tests on Animals","2020Q4","Clare","Number","388196"
"Tests on Animals","2020Q4","Cork North","Number","879841"
"Tests on Animals","2020Q4","Cork South","Number","587228"
"Tests on Animals","2020Q4","Donegal","Number","215669"
"Tests on Animals","2020Q4","Dublin","Number","24987"
"Tests on Animals","2020Q4","Galway","Number","543606"
"Tests on Animals","2020Q4","Kerry","Number","439311"
"Tests on Animals","2020Q4","Kildare","Number","148802"
"Tests on Animals","2020Q4","Kilkenny","Number","409932"
"Tests on Animals","2020Q4","Laois","Number","302252"
"Tests on Animals","2020Q4","Leitrim","Number","89829"
"Tests on Animals","2020Q4","Limerick","Number","508430"
"Tests on Animals","2020Q4","Longford","Number","138324"
"Tests on Animals","2020Q4","Louth","Number","126508"
"Tests on Animals","2020Q4","Mayo","Number","327239"
"Tests on Animals","2020Q4","Meath","Number","417790"
"Tests on Animals","2020Q4","Monaghan","Number","349144"
"Tests on Animals","2020Q4","Offaly","Number","303718"
"Tests on Animals","2020Q4","Roscommon","Number","246903"
"Tests on Animals","2020Q4","Sligo","Number","132464"
"Tests on Animals","2020Q4","Tipperary North","Number","441627"
"Tests on Animals","2020Q4","Tipperary South","Number","420521"
"Tests on Animals","2020Q4","Waterford","Number","287221"
"Tests on Animals","2020Q4","Westmeath","Number","304207"
"Tests on Animals","2020Q4","Wexford","Number","366765"
"Tests on Animals","2020Q4","Wicklow E","Number","131187"
"Tests on Animals","2020Q4","Wicklow W","Number","76298"
"Tests on Animals","2021Q1","State","Number","1957563"
"Tests on Animals","2021Q1","Carlow","Number","25065"
"Tests on Animals","2021Q1","Cavan","Number","83394"
"Tests on Animals","2021Q1","Clare","Number","79304"
"Tests on Animals","2021Q1","Cork North","Number","165600"
"Tests on Animals","2021Q1","Cork South","Number","106272"
"Tests on Animals","2021Q1","Donegal","Number","51756"
"Tests on Animals","2021Q1","Dublin","Number","7481"
"Tests on Animals","2021Q1","Galway","Number","109257"
"Tests on Animals","2021Q1","Kerry","Number","91001"
"Tests on Animals","2021Q1","Kildare","Number","39043"
"Tests on Animals","2021Q1","Kilkenny","Number","92701"
"Tests on Animals","2021Q1","Laois","Number","73224"
"Tests on Animals","2021Q1","Leitrim","Number","21777"
"Tests on Animals","2021Q1","Limerick","Number","108175"
"Tests on Animals","2021Q1","Longford","Number","33089"
"Tests on Animals","2021Q1","Louth","Number","25197"
"Tests on Animals","2021Q1","Mayo","Number","79515"
"Tests on Animals","2021Q1","Meath","Number","94048"
"Tests on Animals","2021Q1","Monaghan","Number","82370"
"Tests on Animals","2021Q1","Offaly","Number","62956"
"Tests on Animals","2021Q1","Roscommon","Number","60737"
"Tests on Animals","2021Q1","Sligo","Number","33227"
"Tests on Animals","2021Q1","Tipperary North","Number","93260"
"Tests on Animals","2021Q1","Tipperary South","Number","86723"
"Tests on Animals","2021Q1","Waterford","Number","63717"
"Tests on Animals","2021Q1","Westmeath","Number","67042"
"Tests on Animals","2021Q1","Wexford","Number","79069"
"Tests on Animals","2021Q1","Wicklow E","Number","28677"
"Tests on Animals","2021Q1","Wicklow W","Number","13886"
"Tests on Animals","2021Q2","State","Number","4257841"
"Tests on Animals","2021Q2","Carlow","Number","54356"
"Tests on Animals","2021Q2","Cavan","Number","175393"
"Tests on Animals","2021Q2","Clare","Number","178587"
"Tests on Animals","2021Q2","Cork North","Number","381868"
"Tests on Animals","2021Q2","Cork South","Number","253710"
"Tests on Animals","2021Q2","Donegal","Number","108210"
"Tests on Animals","2021Q2","Dublin","Number","13285"
"Tests on Animals","2021Q2","Galway","Number","248713"
"Tests on Animals","2021Q2","Kerry","Number","203966"
"Tests on Animals","2021Q2","Kildare","Number","73452"
"Tests on Animals","2021Q2","Kilkenny","Number","189836"
"Tests on Animals","2021Q2","Laois","Number","147809"
"Tests on Animals","2021Q2","Leitrim","Number","47543"
"Tests on Animals","2021Q2","Limerick","Number","231390"
"Tests on Animals","2021Q2","Longford","Number","66567"
"Tests on Animals","2021Q2","Louth","Number","56303"
"Tests on Animals","2021Q2","Mayo","Number","165607"
"Tests on Animals","2021Q2","Meath","Number","215434"
"Tests on Animals","2021Q2","Monaghan","Number","167685"
"Tests on Animals","2021Q2","Offaly","Number","139926"
"Tests on Animals","2021Q2","Roscommon","Number","128816"
"Tests on Animals","2021Q2","Sligo","Number","70332"
"Tests on Animals","2021Q2","Tipperary North","Number","197769"
"Tests on Animals","2021Q2","Tipperary South","Number","192460"
"Tests on Animals","2021Q2","Waterford","Number","139717"
"Tests on Animals","2021Q2","Westmeath","Number","143438"
"Tests on Animals","2021Q2","Wexford","Number","170990"
"Tests on Animals","2021Q2","Wicklow E","Number","61593"
"Tests on Animals","2021Q2","Wicklow W","Number","33086"
"Tests on Animals","2021Q3","State","Number","6880594"
"Tests on Animals","2021Q3","Carlow","Number","86379"
"Tests on Animals","2021Q3","Cavan","Number","268417"
"Tests on Animals","2021Q3","Clare","Number","277988"
"Tests on Animals","2021Q3","Cork North","Number","660070"
"Tests on Animals","2021Q3","Cork South","Number","452326"
"Tests on Animals","2021Q3","Donegal","Number","167736"
"Tests on Animals","2021Q3","Dublin","Number","21045"
"Tests on Animals","2021Q3","Galway","Number","401836"
"Tests on Animals","2021Q3","Kerry","Number","337090"
"Tests on Animals","2021Q3","Kildare","Number","110943"
"Tests on Animals","2021Q3","Kilkenny","Number","308683"
"Tests on Animals","2021Q3","Laois","Number","223332"
"Tests on Animals","2021Q3","Leitrim","Number","72636"
"Tests on Animals","2021Q3","Limerick","Number","382544"
"Tests on Animals","2021Q3","Longford","Number","107516"
"Tests on Animals","2021Q3","Louth","Number","88350"
"Tests on Animals","2021Q3","Mayo","Number","255605"
