"Statistic","Quarter","Regional Veterinary Offices","UNIT","VALUE"
"Herds in County","2013Q4","Leitrim","Number","3046"
"Herds in County","2013Q4","Limerick","Number","5546"
"Herds in County","2013Q4","Longford","Number","2396"
"Herds in County","2013Q4","Louth","Number","1204"
"Herds in County","2013Q4","Mayo","Number","9637"
"Herds in County","2013Q4","Meath","Number","3758"
"Herds in County","2013Q4","Monaghan","Number","4289"
"Herds in County","2013Q4","Offaly","Number","3106"
"Herds in County","2013Q4","Roscommon","Number","5476"
"Herds in County","2013Q4","Sligo","Number","3615"
"Herds in County","2013Q4","Tipperary North","Number","3452"
"Herds in County","2013Q4","Tipperary South","Number","3441"
"Herds in County","2013Q4","Waterford","Number","2256"
"Herds in County","2013Q4","Westmeath","Number","3035"
"Herds in County","2013Q4","Wexford","Number","3122"
"Herds in County","2013Q4","Wicklow E","Number","1082"
"Herds in County","2013Q4","Wicklow W","Number","571"
"Herds in County","2014Q1","State","Number","115828"
"Herds in County","2014Q1","Carlow","Number","1337"
"Herds in County","2014Q1","Cavan","Number","4868"
"Herds in County","2014Q1","Clare","Number","6245"
"Herds in County","2014Q1","Cork North","Number","5844"
"Herds in County","2014Q1","Cork South","Number","6202"
"Herds in County","2014Q1","Donegal","Number","5538"
"Herds in County","2014Q1","Dublin","Number","399"
"Herds in County","2014Q1","Galway","Number","11633"
"Herds in County","2014Q1","Kerry","Number","6781"
"Herds in County","2014Q1","Kildare","Number","1940"
"Herds in County","2014Q1","Kilkenny","Number","3191"
"Herds in County","2014Q1","Laois","Number","2890"
"Herds in County","2014Q1","Leitrim","Number","3057"
"Herds in County","2014Q1","Limerick","Number","5550"
"Herds in County","2014Q1","Longford","Number","2399"
"Herds in County","2014Q1","Louth","Number","1196"
"Herds in County","2014Q1","Mayo","Number","9514"
"Herds in County","2014Q1","Meath","Number","3750"
"Herds in County","2014Q1","Monaghan","Number","4297"
"Herds in County","2014Q1","Offaly","Number","3116"
"Herds in County","2014Q1","Roscommon","Number","5478"
"Herds in County","2014Q1","Sligo","Number","3628"
"Herds in County","2014Q1","Tipperary North","Number","3465"
"Herds in County","2014Q1","Tipperary South","Number","3459"
"Herds in County","2014Q1","Waterford","Number","2263"
"Herds in County","2014Q1","Westmeath","Number","3044"
"Herds in County","2014Q1","Wexford","Number","3104"
"Herds in County","2014Q1","Wicklow E","Number","1075"
"Herds in County","2014Q1","Wicklow W","Number","565"
"Herds in County","2014Q2","State","Number","116545"
"Herds in County","2014Q2","Carlow","Number","1349"
"Herds in County","2014Q2","Cavan","Number","4897"
"Herds in County","2014Q2","Clare","Number","6275"
"Herds in County","2014Q2","Cork North","Number","5891"
"Herds in County","2014Q2","Cork South","Number","6242"
"Herds in County","2014Q2","Donegal","Number","5589"
"Herds in County","2014Q2","Dublin","Number","404"
"Herds in County","2014Q2","Galway","Number","11697"
"Herds in County","2014Q2","Kerry","Number","6822"
"Herds in County","2014Q2","Kildare","Number","1960"
"Herds in County","2014Q2","Kilkenny","Number","3206"
"Herds in County","2014Q2","Laois","Number","2909"
"Herds in County","2014Q2","Leitrim","Number","3070"
"Herds in County","2014Q2","Limerick","Number","5591"
"Herds in County","2014Q2","Longford","Number","2411"
"Herds in County","2014Q2","Louth","Number","1211"
"Herds in County","2014Q2","Mayo","Number","9557"
"Herds in County","2014Q2","Meath","Number","3768"
"Herds in County","2014Q2","Monaghan","Number","4317"
"Herds in County","2014Q2","Offaly","Number","3132"
"Herds in County","2014Q2","Roscommon","Number","5522"
"Herds in County","2014Q2","Sligo","Number","3646"
"Herds in County","2014Q2","Tipperary North","Number","3492"
"Herds in County","2014Q2","Tipperary South","Number","3476"
"Herds in County","2014Q2","Waterford","Number","2272"
"Herds in County","2014Q2","Westmeath","Number","3066"
"Herds in County","2014Q2","Wexford","Number","3121"
"Herds in County","2014Q2","Wicklow E","Number","1085"
"Herds in County","2014Q2","Wicklow W","Number","567"
"Herds in County","2014Q3","State","Number","116714"
"Herds in County","2014Q3","Carlow","Number","1354"
"Herds in County","2014Q3","Cavan","Number","4911"
"Herds in County","2014Q3","Clare","Number","6281"
"Herds in County","2014Q3","Cork North","Number","5914"
"Herds in County","2014Q3","Cork South","Number","6252"
"Herds in County","2014Q3","Donegal","Number","5612"
"Herds in County","2014Q3","Dublin","Number","407"
"Herds in County","2014Q3","Galway","Number","11716"
"Herds in County","2014Q3","Kerry","Number","6842"
"Herds in County","2014Q3","Kildare","Number","1972"
"Herds in County","2014Q3","Kilkenny","Number","3212"
"Herds in County","2014Q3","Laois","Number","2922"
"Herds in County","2014Q3","Leitrim","Number","3032"
"Herds in County","2014Q3","Limerick","Number","5596"
"Herds in County","2014Q3","Longford","Number","2411"
"Herds in County","2014Q3","Louth","Number","1210"
"Herds in County","2014Q3","Mayo","Number","9567"
"Herds in County","2014Q3","Meath","Number","3780"
"Herds in County","2014Q3","Monaghan","Number","4332"
"Herds in County","2014Q3","Offaly","Number","3135"
"Herds in County","2014Q3","Roscommon","Number","5523"
"Herds in County","2014Q3","Sligo","Number","3611"
"Herds in County","2014Q3","Tipperary North","Number","3499"
"Herds in County","2014Q3","Tipperary South","Number","3490"
"Herds in County","2014Q3","Waterford","Number","2278"
"Herds in County","2014Q3","Westmeath","Number","3067"
"Herds in County","2014Q3","Wexford","Number","3126"
"Herds in County","2014Q3","Wicklow E","Number","1094"
"Herds in County","2014Q3","Wicklow W","Number","568"
"Herds in County","2014Q4","State","Number","114508"
"Herds in County","2014Q4","Carlow","Number","1330"
"Herds in County","2014Q4","Cavan","Number","4817"
"Herds in County","2014Q4","Clare","Number","6165"
"Herds in County","2014Q4","Cork North","Number","5790"
"Herds in County","2014Q4","Cork South","Number","6106"
"Herds in County","2014Q4","Donegal","Number","5452"
"Herds in County","2014Q4","Dublin","Number","388"
"Herds in County","2014Q4","Galway","Number","11422"
"Herds in County","2014Q4","Kerry","Number","6801"
