,Statistic,Year,Agricultural Product,UNIT,VALUE
250,Agricultural Input and Output Price Indices,2002,Total Cattle (Output),Base 2000=100,94.4
251,Agricultural Input and Output Price Indices,2002,Finished Cattle (Output),Base 2000=100,95.2
252,Agricultural Input and Output Price Indices,2002,Cows for Slaughter (Output),Base 2000=100,83.2
253,Agricultural Input and Output Price Indices,2002,Store Cattle (Output),Base 2000=100,100.7
254,Agricultural Input and Output Price Indices,2002,Sheep (Output),Base 2000=100,121.3
255,Agricultural Input and Output Price Indices,2002,Pigs (Output),Base 2000=100,99.5
256,Agricultural Input and Output Price Indices,2002,Poultry (Output),Base 2000=100,105.5
257,Agricultural Input and Output Price Indices,2002,Total Crop Products (Output),Base 2000=100,110.4
258,Agricultural Input and Output Price Indices,2002,Cereals (Output),Base 2000=100,91.8
259,Agricultural Input and Output Price Indices,2002,Sugarbeet (Output),Base 2000=100,103.8
260,Agricultural Input and Output Price Indices,2002,Potatoes (Output),Base 2000=100,148.0
261,Agricultural Input and Output Price Indices,2002,Vegetables (Output),Base 2000=100,114.9
262,Agricultural Input and Output Price Indices,2002,Total Index (Input),Base 2000=100,106.2
263,Agricultural Input and Output Price Indices,2002,All Feeding Stuffs,Base 2000=100,106.5
264,Agricultural Input and Output Price Indices,2002,Straight Feeding Stuffs (Input),Base 2000=100,102.9
265,Agricultural Input and Output Price Indices,2002,Compound Feeding Stuffs - Calf (Input),Base 2000=100,105.8
266,Agricultural Input and Output Price Indices,2002,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,107.8
267,Agricultural Input and Output Price Indices,2002,Compound Feeding Stuffs - Pig (Input),Base 2000=100,106.2
268,Agricultural Input and Output Price Indices,2002,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,105.4
269,Agricultural Input and Output Price Indices,2002,All Fertilisers  (Input),Base 2000=100,110.5
270,Agricultural Input and Output Price Indices,2002,Straight Fertilisers  (Input),Base 2000=100,115.5
271,Agricultural Input and Output Price Indices,2002,Compound Fertilisers - N.P.K. (Input),Base 2000=100,108.4
272,Agricultural Input and Output Price Indices,2002,Compound Fertilisers - P.K. (Input),Base 2000=100,103.3
273,Agricultural Input and Output Price Indices,2002,All Energy (Input),Base 2000=100,97.1
274,Agricultural Input and Output Price Indices,2002,Energy - Motor Fuels  (Input),Base 2000=100,94.7
275,Agricultural Input and Output Price Indices,2002,Energy - Electricity  (Input),Base 2000=100,105.9
276,Agricultural Input and Output Price Indices,2002,Other Products  (Input),Base 2000=100,110.4
277,Agricultural Input and Output Price Indices,2002,Seeds  (Input),Base 2000=100,107.4
278,Agricultural Input and Output Price Indices,2002,Plant Protection Products (Input),Base 2000=100,101.6
279,Agricultural Input and Output Price Indices,2002,Veterinary Expenses (Including A.I.) (Input),Base 2000=100,109.4
280,Agricultural Input and Output Price Indices,2003,Total Index (Output),Base 2000=100,99.6
281,Agricultural Input and Output Price Indices,2003,Total Livestock and Livestock Products (Output),Base 2000=100,96.9
282,Agricultural Input and Output Price Indices,2003,Total Livestock Products (Output),Base 2000=100,95.7
283,Agricultural Input and Output Price Indices,2003,Milk (Output),Base 2000=100,95.6
284,Agricultural Input and Output Price Indices,2003,Total Livestock (Output),Base 2000=100,97.7
285,Agricultural Input and Output Price Indices,2003,Total Cattle (Output),Base 2000=100,93.6
286,Agricultural Input and Output Price Indices,2003,Finished Cattle (Output),Base 2000=100,93.3
287,Agricultural Input and Output Price Indices,2003,Cows for Slaughter (Output),Base 2000=100,86.4
288,Agricultural Input and Output Price Indices,2003,Store Cattle (Output),Base 2000=100,102.8
289,Agricultural Input and Output Price Indices,2003,Sheep (Output),Base 2000=100,119.5
290,Agricultural Input and Output Price Indices,2003,Pigs (Output),Base 2000=100,95.4
291,Agricultural Input and Output Price Indices,2003,Poultry (Output),Base 2000=100,105.6
292,Agricultural Input and Output Price Indices,2003,Total Crop Products (Output),Base 2000=100,116.0
293,Agricultural Input and Output Price Indices,2003,Cereals (Output),Base 2000=100,109.0
294,Agricultural Input and Output Price Indices,2003,Sugarbeet (Output),Base 2000=100,103.8
295,Agricultural Input and Output Price Indices,2003,Potatoes (Output),Base 2000=100,154.2
296,Agricultural Input and Output Price Indices,2003,Vegetables (Output),Base 2000=100,110.0
297,Agricultural Input and Output Price Indices,2003,Total Index (Input),Base 2000=100,108.8
298,Agricultural Input and Output Price Indices,2003,All Feeding Stuffs,Base 2000=100,106.5
299,Agricultural Input and Output Price Indices,2003,Straight Feeding Stuffs (Input),Base 2000=100,103.0
300,Agricultural Input and Output Price Indices,2003,Compound Feeding Stuffs - Calf (Input),Base 2000=100,106.8
301,Agricultural Input and Output Price Indices,2003,Compound Feeding Stuffs - Cattle (Input),Base 2000=100,107.7
302,Agricultural Input and Output Price Indices,2003,Compound Feeding Stuffs - Pig (Input),Base 2000=100,105.5
303,Agricultural Input and Output Price Indices,2003,Compound Feeding Stuffs - Poultry (Input),Base 2000=100,106.3
304,Agricultural Input and Output Price Indices,2003,All Fertilisers  (Input),Base 2000=100,113.0
