"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","2011M12","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2011M12","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M01","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","334"
"Fertiliser Price","2012M01","Urea (46% N)","Euro per Tonne","426"
"Fertiliser Price","2012M01","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M01","Muriate of Potash (50% K)","Euro per Tonne","455"
"Fertiliser Price","2012M01","Compound 0-10-20","Euro per Tonne","445"
"Fertiliser Price","2012M01","Compound 0-7-30","Euro per Tonne","451"
"Fertiliser Price","2012M01","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 10-10-20","Euro per Tonne","487"
"Fertiliser Price","2012M01","Compound 14-7-14","Euro per Tonne","463"
"Fertiliser Price","2012M01","Compound 18-6-12","Euro per Tonne","440"
"Fertiliser Price","2012M01","Compound 24-2.5-10","Euro per Tonne","438"
"Fertiliser Price","2012M01","Compound 27-2.5-5","Euro per Tonne","436"
"Fertiliser Price","2012M01","Sulphate of Potash (42% K)","Euro per Tonne","518"
"Fertiliser Price","2012M01","Compound 8-5-18","Euro per Tonne","454"
"Fertiliser Price","2012M01","Compound 20-4-10","Euro per Tonne","441"
"Fertiliser Price","2012M01","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M01","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M01","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M02","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","334"
"Fertiliser Price","2012M02","Urea (46% N)","Euro per Tonne","432"
"Fertiliser Price","2012M02","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M02","Muriate of Potash (50% K)","Euro per Tonne","453"
"Fertiliser Price","2012M02","Compound 0-10-20","Euro per Tonne","444"
"Fertiliser Price","2012M02","Compound 0-7-30","Euro per Tonne","450"
"Fertiliser Price","2012M02","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 10-10-20","Euro per Tonne","488"
"Fertiliser Price","2012M02","Compound 14-7-14","Euro per Tonne","460"
"Fertiliser Price","2012M02","Compound 18-6-12","Euro per Tonne","444"
"Fertiliser Price","2012M02","Compound 24-2.5-10","Euro per Tonne","441"
"Fertiliser Price","2012M02","Compound 27-2.5-5","Euro per Tonne","438"
"Fertiliser Price","2012M02","Sulphate of Potash (42% K)","Euro per Tonne","521"
"Fertiliser Price","2012M02","Compound 8-5-18","Euro per Tonne","453"
"Fertiliser Price","2012M02","Compound 20-4-10","Euro per Tonne","440"
"Fertiliser Price","2012M02","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M02","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M02","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M03","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","336"
"Fertiliser Price","2012M03","Urea (46% N)","Euro per Tonne","434"
"Fertiliser Price","2012M03","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M03","Muriate of Potash (50% K)","Euro per Tonne","454"
"Fertiliser Price","2012M03","Compound 0-10-20","Euro per Tonne","455"
"Fertiliser Price","2012M03","Compound 0-7-30","Euro per Tonne","454"
"Fertiliser Price","2012M03","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 10-10-20","Euro per Tonne","492"
"Fertiliser Price","2012M03","Compound 14-7-14","Euro per Tonne","457"
"Fertiliser Price","2012M03","Compound 18-6-12","Euro per Tonne","445"
"Fertiliser Price","2012M03","Compound 24-2.5-10","Euro per Tonne","440"
"Fertiliser Price","2012M03","Compound 27-2.5-5","Euro per Tonne","436"
"Fertiliser Price","2012M03","Sulphate of Potash (42% K)","Euro per Tonne","548"
"Fertiliser Price","2012M03","Compound 8-5-18","Euro per Tonne","454"
"Fertiliser Price","2012M03","Compound 20-4-10","Euro per Tonne","438"
"Fertiliser Price","2012M03","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M03","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M03","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M04","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","337"
"Fertiliser Price","2012M04","Urea (46% N)","Euro per Tonne","437"
"Fertiliser Price","2012M04","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M04","Muriate of Potash (50% K)","Euro per Tonne","457"
"Fertiliser Price","2012M04","Compound 0-10-20","Euro per Tonne","454"
"Fertiliser Price","2012M04","Compound 0-7-30","Euro per Tonne","454"
"Fertiliser Price","2012M04","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 10-10-20","Euro per Tonne","495"
"Fertiliser Price","2012M04","Compound 14-7-14","Euro per Tonne","457"
"Fertiliser Price","2012M04","Compound 18-6-12","Euro per Tonne","447"
"Fertiliser Price","2012M04","Compound 24-2.5-10","Euro per Tonne","440"
"Fertiliser Price","2012M04","Compound 27-2.5-5","Euro per Tonne","435"
"Fertiliser Price","2012M04","Sulphate of Potash (42% K)","Euro per Tonne","561"
"Fertiliser Price","2012M04","Compound 8-5-18","Euro per Tonne","450"
"Fertiliser Price","2012M04","Compound 20-4-10","Euro per Tonne","438"
"Fertiliser Price","2012M04","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M04","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M04","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M05","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","336"
"Fertiliser Price","2012M05","Urea (46% N)","Euro per Tonne","437"
"Fertiliser Price","2012M05","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M05","Muriate of Potash (50% K)","Euro per Tonne","457"
"Fertiliser Price","2012M05","Compound 0-10-20","Euro per Tonne","454"
"Fertiliser Price","2012M05","Compound 0-7-30","Euro per Tonne","454"
"Fertiliser Price","2012M05","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 10-10-20","Euro per Tonne","494"
"Fertiliser Price","2012M05","Compound 14-7-14","Euro per Tonne","457"
"Fertiliser Price","2012M05","Compound 18-6-12","Euro per Tonne","447"
"Fertiliser Price","2012M05","Compound 24-2.5-10","Euro per Tonne","439"
"Fertiliser Price","2012M05","Compound 27-2.5-5","Euro per Tonne","434"
"Fertiliser Price","2012M05","Sulphate of Potash (42% K)","Euro per Tonne","561"
"Fertiliser Price","2012M05","Compound 8-5-18","Euro per Tonne","448"
"Fertiliser Price","2012M05","Compound 20-4-10","Euro per Tonne","434"
"Fertiliser Price","2012M05","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M05","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M05","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M06","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","334"
"Fertiliser Price","2012M06","Urea (46% N)","Euro per Tonne","436"
"Fertiliser Price","2012M06","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M06","Muriate of Potash (50% K)","Euro per Tonne","460"
"Fertiliser Price","2012M06","Compound 0-10-20","Euro per Tonne","454"
"Fertiliser Price","2012M06","Compound 0-7-30","Euro per Tonne","454"
"Fertiliser Price","2012M06","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 10-10-20","Euro per Tonne","493"
"Fertiliser Price","2012M06","Compound 14-7-14","Euro per Tonne","457"
"Fertiliser Price","2012M06","Compound 18-6-12","Euro per Tonne","445"
"Fertiliser Price","2012M06","Compound 24-2.5-10","Euro per Tonne","438"
"Fertiliser Price","2012M06","Compound 27-2.5-5","Euro per Tonne","432"
"Fertiliser Price","2012M06","Sulphate of Potash (42% K)","Euro per Tonne","567"
"Fertiliser Price","2012M06","Compound 8-5-18","Euro per Tonne","448"
"Fertiliser Price","2012M06","Compound 20-4-10","Euro per Tonne","431"
"Fertiliser Price","2012M06","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M06","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M06","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M07","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","330"
"Fertiliser Price","2012M07","Urea (46% N)","Euro per Tonne","435"
"Fertiliser Price","2012M07","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M07","Muriate of Potash (50% K)","Euro per Tonne","460"
"Fertiliser Price","2012M07","Compound 0-10-20","Euro per Tonne","454"
"Fertiliser Price","2012M07","Compound 0-7-30","Euro per Tonne","454"
"Fertiliser Price","2012M07","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 10-10-20","Euro per Tonne","492"
"Fertiliser Price","2012M07","Compound 14-7-14","Euro per Tonne","457"
"Fertiliser Price","2012M07","Compound 18-6-12","Euro per Tonne","445"
"Fertiliser Price","2012M07","Compound 24-2.5-10","Euro per Tonne","437"
"Fertiliser Price","2012M07","Compound 27-2.5-5","Euro per Tonne","432"
"Fertiliser Price","2012M07","Sulphate of Potash (42% K)","Euro per Tonne","567"
"Fertiliser Price","2012M07","Compound 8-5-18","Euro per Tonne","448"
"Fertiliser Price","2012M07","Compound 20-4-10","Euro per Tonne","431"
"Fertiliser Price","2012M07","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M07","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M07","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M08","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","328"
"Fertiliser Price","2012M08","Urea (46% N)","Euro per Tonne","435"
"Fertiliser Price","2012M08","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M08","Muriate of Potash (50% K)","Euro per Tonne","460"
"Fertiliser Price","2012M08","Compound 0-10-20","Euro per Tonne","455"
"Fertiliser Price","2012M08","Compound 0-7-30","Euro per Tonne","455"
"Fertiliser Price","2012M08","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 10-10-20","Euro per Tonne","490"
"Fertiliser Price","2012M08","Compound 14-7-14","Euro per Tonne","455"
"Fertiliser Price","2012M08","Compound 18-6-12","Euro per Tonne","443"
"Fertiliser Price","2012M08","Compound 24-2.5-10","Euro per Tonne","437"
"Fertiliser Price","2012M08","Compound 27-2.5-5","Euro per Tonne","431"
"Fertiliser Price","2012M08","Sulphate of Potash (42% K)","Euro per Tonne","567"
"Fertiliser Price","2012M08","Compound 8-5-18","Euro per Tonne","447"
"Fertiliser Price","2012M08","Compound 20-4-10","Euro per Tonne","431"
"Fertiliser Price","2012M08","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M08","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M08","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M09","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","326"
"Fertiliser Price","2012M09","Urea (46% N)","Euro per Tonne","435"
"Fertiliser Price","2012M09","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M09","Muriate of Potash (50% K)","Euro per Tonne","460"
"Fertiliser Price","2012M09","Compound 0-10-20","Euro per Tonne","455"
"Fertiliser Price","2012M09","Compound 0-7-30","Euro per Tonne","455"
"Fertiliser Price","2012M09","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 10-10-20","Euro per Tonne","488"
"Fertiliser Price","2012M09","Compound 14-7-14","Euro per Tonne","455"
"Fertiliser Price","2012M09","Compound 18-6-12","Euro per Tonne","443"
"Fertiliser Price","2012M09","Compound 24-2.5-10","Euro per Tonne","437"
"Fertiliser Price","2012M09","Compound 27-2.5-5","Euro per Tonne","431"
"Fertiliser Price","2012M09","Sulphate of Potash (42% K)","Euro per Tonne","567"
"Fertiliser Price","2012M09","Compound 8-5-18","Euro per Tonne","447"
"Fertiliser Price","2012M09","Compound 20-4-10","Euro per Tonne","431"
"Fertiliser Price","2012M09","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M09","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M09","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M10","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","327"
"Fertiliser Price","2012M10","Urea (46% N)","Euro per Tonne","439"
"Fertiliser Price","2012M10","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M10","Muriate of Potash (50% K)","Euro per Tonne","464"
"Fertiliser Price","2012M10","Compound 0-10-20","Euro per Tonne","456"
"Fertiliser Price","2012M10","Compound 0-7-30","Euro per Tonne","456"
"Fertiliser Price","2012M10","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 10-10-20","Euro per Tonne","489"
"Fertiliser Price","2012M10","Compound 14-7-14","Euro per Tonne","459"
"Fertiliser Price","2012M10","Compound 18-6-12","Euro per Tonne","443"
"Fertiliser Price","2012M10","Compound 24-2.5-10","Euro per Tonne","438"
"Fertiliser Price","2012M10","Compound 27-2.5-5","Euro per Tonne","432"
"Fertiliser Price","2012M10","Sulphate of Potash (42% K)","Euro per Tonne","574"
"Fertiliser Price","2012M10","Compound 8-5-18","Euro per Tonne","450"
"Fertiliser Price","2012M10","Compound 20-4-10","Euro per Tonne","436"
"Fertiliser Price","2012M10","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M10","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M10","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M11","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","327"
"Fertiliser Price","2012M11","Urea (46% N)","Euro per Tonne","439"
"Fertiliser Price","2012M11","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M11","Muriate of Potash (50% K)","Euro per Tonne","464"
"Fertiliser Price","2012M11","Compound 0-10-20","Euro per Tonne","456"
"Fertiliser Price","2012M11","Compound 0-7-30","Euro per Tonne","456"
"Fertiliser Price","2012M11","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 10-10-20","Euro per Tonne","489"
"Fertiliser Price","2012M11","Compound 14-7-14","Euro per Tonne","459"
"Fertiliser Price","2012M11","Compound 18-6-12","Euro per Tonne","443"
"Fertiliser Price","2012M11","Compound 24-2.5-10","Euro per Tonne","438"
"Fertiliser Price","2012M11","Compound 27-2.5-5","Euro per Tonne","432"
"Fertiliser Price","2012M11","Sulphate of Potash (42% K)","Euro per Tonne","574"
"Fertiliser Price","2012M11","Compound 8-5-18","Euro per Tonne","450"
"Fertiliser Price","2012M11","Compound 20-4-10","Euro per Tonne","436"
"Fertiliser Price","2012M11","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M11","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M11","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2012M12","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","328"
"Fertiliser Price","2012M12","Urea (46% N)","Euro per Tonne","439"
"Fertiliser Price","2012M12","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2012M12","Muriate of Potash (50% K)","Euro per Tonne","464"
"Fertiliser Price","2012M12","Compound 0-10-20","Euro per Tonne","456"
"Fertiliser Price","2012M12","Compound 0-7-30","Euro per Tonne","456"
"Fertiliser Price","2012M12","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 10-10-20","Euro per Tonne","489"
"Fertiliser Price","2012M12","Compound 14-7-14","Euro per Tonne","453"
"Fertiliser Price","2012M12","Compound 18-6-12","Euro per Tonne","443"
"Fertiliser Price","2012M12","Compound 24-2.5-10","Euro per Tonne","438"
"Fertiliser Price","2012M12","Compound 27-2.5-5","Euro per Tonne","431"
"Fertiliser Price","2012M12","Sulphate of Potash (42% K)","Euro per Tonne","574"
"Fertiliser Price","2012M12","Compound 8-5-18","Euro per Tonne","450"
"Fertiliser Price","2012M12","Compound 20-4-10","Euro per Tonne","436"
"Fertiliser Price","2012M12","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2012M12","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2012M12","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2013M01","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","330"
"Fertiliser Price","2013M01","Urea (46% N)","Euro per Tonne","443"
"Fertiliser Price","2013M01","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2013M01","Muriate of Potash (50% K)","Euro per Tonne","465"
"Fertiliser Price","2013M01","Compound 0-10-20","Euro per Tonne","457"
"Fertiliser Price","2013M01","Compound 0-7-30","Euro per Tonne","457"
"Fertiliser Price","2013M01","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 10-10-20","Euro per Tonne","490"
"Fertiliser Price","2013M01","Compound 14-7-14","Euro per Tonne","454"
"Fertiliser Price","2013M01","Compound 18-6-12","Euro per Tonne","444"
"Fertiliser Price","2013M01","Compound 24-2.5-10","Euro per Tonne","441"
"Fertiliser Price","2013M01","Compound 27-2.5-5","Euro per Tonne","435"
"Fertiliser Price","2013M01","Sulphate of Potash (42% K)","Euro per Tonne","568"
"Fertiliser Price","2013M01","Compound 8-5-18","Euro per Tonne","450"
"Fertiliser Price","2013M01","Compound 20-4-10","Euro per Tonne","429"
"Fertiliser Price","2013M01","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2013M01","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2013M01","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2013M02","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","333"
"Fertiliser Price","2013M02","Urea (46% N)","Euro per Tonne","444"
"Fertiliser Price","2013M02","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2013M02","Muriate of Potash (50% K)","Euro per Tonne","462"
"Fertiliser Price","2013M02","Compound 0-10-20","Euro per Tonne","457"
"Fertiliser Price","2013M02","Compound 0-7-30","Euro per Tonne","456"
"Fertiliser Price","2013M02","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 10-10-20","Euro per Tonne","490"
"Fertiliser Price","2013M02","Compound 14-7-14","Euro per Tonne","455"
"Fertiliser Price","2013M02","Compound 18-6-12","Euro per Tonne","446"
"Fertiliser Price","2013M02","Compound 24-2.5-10","Euro per Tonne","445"
"Fertiliser Price","2013M02","Compound 27-2.5-5","Euro per Tonne","438"
"Fertiliser Price","2013M02","Sulphate of Potash (42% K)","Euro per Tonne","570"
"Fertiliser Price","2013M02","Compound 8-5-18","Euro per Tonne","452"
"Fertiliser Price","2013M02","Compound 20-4-10","Euro per Tonne","437"
"Fertiliser Price","2013M02","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2013M02","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","2013M02","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","2013M03","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","335"
"Fertiliser Price","2013M03","Urea (46% N)","Euro per Tonne","447"
"Fertiliser Price","2013M03","Granular Superphosphate (16% P)","Euro per Tonne",""
"Fertiliser Price","2013M03","Muriate of Potash (50% K)","Euro per Tonne","461"
"Fertiliser Price","2013M03","Compound 0-10-20","Euro per Tonne","455"
"Fertiliser Price","2013M03","Compound 0-7-30","Euro per Tonne","455"
"Fertiliser Price","2013M03","Compound 7-6-17","Euro per Tonne",""
"Fertiliser Price","2013M03","Compound 10-10-20","Euro per Tonne","488"
"Fertiliser Price","2013M03","Compound 14-7-14","Euro per Tonne","452"
"Fertiliser Price","2013M03","Compound 18-6-12","Euro per Tonne","445"
"Fertiliser Price","2013M03","Compound 24-2.5-10","Euro per Tonne","447"
"Fertiliser Price","2013M03","Compound 27-2.5-5","Euro per Tonne","441"
"Fertiliser Price","2013M03","Sulphate of Potash (42% K)","Euro per Tonne","568"
"Fertiliser Price","2013M03","Compound 8-5-18","Euro per Tonne","451"
"Fertiliser Price","2013M03","Compound 20-4-10","Euro per Tonne","427"
"Fertiliser Price","2013M03","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","2013M03","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
