"Statistic","Month","Type of Fertiliser","UNIT","VALUE"
"Fertiliser Price","1980M10","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1980M10","Compound 7-6-17","Euro per Tonne","170"
"Fertiliser Price","1980M10","Compound 10-10-20","Euro per Tonne","183"
"Fertiliser Price","1980M10","Compound 14-7-14","Euro per Tonne","173"
"Fertiliser Price","1980M10","Compound 18-6-12","Euro per Tonne","175"
"Fertiliser Price","1980M10","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1980M10","Compound 27-2.5-5","Euro per Tonne","166"
"Fertiliser Price","1980M10","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M10","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M10","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 10-5-25","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 13-6-20","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 15-3-20","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 24-2.2-10","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 24-2.2-4.5","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 19-0-15","Euro per Tonne",""
"Fertiliser Price","1980M10","Compound 25-4-0","Euro per Tonne",""
"Fertiliser Price","1980M11","Calcium Ammonium Nitrate (27.5% N)","Euro per Tonne","124"
"Fertiliser Price","1980M11","Urea (46% N)","Euro per Tonne","166"
"Fertiliser Price","1980M11","Granular Superphosphate (16% P)","Euro per Tonne","191"
"Fertiliser Price","1980M11","Muriate of Potash (50% K)","Euro per Tonne","121"
"Fertiliser Price","1980M11","Compound 0-10-20","Euro per Tonne","148"
"Fertiliser Price","1980M11","Compound 0-7-30","Euro per Tonne","146"
"Fertiliser Price","1980M11","Compound 7-6-17","Euro per Tonne","176"
"Fertiliser Price","1980M11","Compound 10-10-20","Euro per Tonne","185"
"Fertiliser Price","1980M11","Compound 14-7-14","Euro per Tonne","175"
"Fertiliser Price","1980M11","Compound 18-6-12","Euro per Tonne","176"
"Fertiliser Price","1980M11","Compound 24-2.5-10","Euro per Tonne","168"
"Fertiliser Price","1980M11","Compound 27-2.5-5","Euro per Tonne","165"
"Fertiliser Price","1980M11","Sulphate of Potash (42% K)","Euro per Tonne",""
"Fertiliser Price","1980M11","Compound 8-5-18","Euro per Tonne",""
"Fertiliser Price","1980M11","Compound 20-4-10","Euro per Tonne",""
"Fertiliser Price","1980M11","Sulphate of Ammonia (21%)","Euro per Tonne",""
"Fertiliser Price","1980M11","Ammonium Sulphate Nitrate (26%)","Euro per Tonne",""
"Fertiliser Price","1980M11","Compound 10-5-25","Euro per Tonne",""
