"Statistic","Year","Regional Veterinary Offices","UNIT","VALUE"
"Herds Tested","2013","Mayo","Number","9584"
"Herds Tested","2013","Meath","Number","3645"
"Herds Tested","2013","Monaghan","Number","4224"
"Herds Tested","2013","Offaly","Number","3054"
"Herds Tested","2013","Roscommon","Number","5410"
"Herds Tested","2013","Sligo","Number","3572"
"Herds Tested","2013","Tipperary North","Number","3376"
"Herds Tested","2013","Tipperary South","Number","3360"
"Herds Tested","2013","Waterford","Number","2237"
"Herds Tested","2013","Westmeath","Number","2978"
"Herds Tested","2013","Wexford","Number","2998"
"Herds Tested","2013","Wicklow E","Number","1039"
"Herds Tested","2013","Wicklow W","Number","563"
"Herds Tested","2014","State","Number","112937"
"Herds Tested","2014","Carlow","Number","1307"
"Herds Tested","2014","Cavan","Number","4761"
"Herds Tested","2014","Clare","Number","6138"
"Herds Tested","2014","Cork North","Number","5717"
"Herds Tested","2014","Cork South","Number","6019"
"Herds Tested","2014","Donegal","Number","5339"
"Herds Tested","2014","Dublin","Number","384"
"Herds Tested","2014","Galway","Number","11330"
"Herds Tested","2014","Kerry","Number","6764"
"Herds Tested","2014","Kildare","Number","1890"
"Herds Tested","2014","Kilkenny","Number","3144"
"Herds Tested","2014","Laois","Number","2848"
"Herds Tested","2014","Leitrim","Number","2951"
"Herds Tested","2014","Limerick","Number","5431"
"Herds Tested","2014","Longford","Number","2360"
"Herds Tested","2014","Louth","Number","1153"
"Herds Tested","2014","Mayo","Number","9325"
"Herds Tested","2014","Meath","Number","3538"
"Herds Tested","2014","Monaghan","Number","4166"
"Herds Tested","2014","Offaly","Number","3042"
"Herds Tested","2014","Roscommon","Number","5357"
"Herds Tested","2014","Sligo","Number","3530"
"Herds Tested","2014","Tipperary North","Number","3367"
"Herds Tested","2014","Tipperary South","Number","3333"
"Herds Tested","2014","Waterford","Number","2220"
"Herds Tested","2014","Westmeath","Number","2956"
"Herds Tested","2014","Wexford","Number","2993"
"Herds Tested","2014","Wicklow E","Number","1031"
"Herds Tested","2014","Wicklow W","Number","543"
"Herds Tested","2015","State","Number","113331"
"Herds Tested","2015","Carlow","Number","1298"
"Herds Tested","2015","Cavan","Number","4764"
"Herds Tested","2015","Clare","Number","6169"
"Herds Tested","2015","Cork North","Number","5727"
