,Statistic,Year,Type of Crop,UNIT,VALUE
291,Crop Yield per Hectare,2017,Winter oats,Tonnes,8.9
292,Crop Yield per Hectare,2017,Spring oats,Tonnes,7.6
293,Crop Yield per Hectare,2017,Total barley,Tonnes,8.4
294,Crop Yield per Hectare,2017,Winter barley,Tonnes,9.1
295,Crop Yield per Hectare,2017,Spring barley,Tonnes,7.9
296,Crop Yield per Hectare,2017,Beans and peas,Tonnes,6.6
297,Crop Yield per Hectare,2017,Oilseed rape,Tonnes,4.1
298,Crop Yield per Hectare,2017,Potatoes,Tonnes,44.9
299,Crop Yield per Hectare,2018,"Total wheat, oats and barley",Tonnes,7.1
300,Crop Yield per Hectare,2018,Total wheat,Tonnes,8.7
301,Crop Yield per Hectare,2018,Winter wheat,Tonnes,8.9
302,Crop Yield per Hectare,2018,Spring wheat,Tonnes,6.2
303,Crop Yield per Hectare,2018,Total oats,Tonnes,6.9
304,Crop Yield per Hectare,2018,Winter oats,Tonnes,7.9
305,Crop Yield per Hectare,2018,Spring oats,Tonnes,5.6
306,Crop Yield per Hectare,2018,Total barley,Tonnes,6.6
307,Crop Yield per Hectare,2018,Winter barley,Tonnes,8.8
308,Crop Yield per Hectare,2018,Spring barley,Tonnes,5.6
309,Crop Yield per Hectare,2018,Beans and peas,Tonnes,2.7
310,Crop Yield per Hectare,2018,Oilseed rape,Tonnes,3.9
311,Crop Yield per Hectare,2018,Potatoes,Tonnes,33.2
312,Crop Yield per Hectare,2019,"Total wheat, oats and barley",Tonnes,9.0
313,Crop Yield per Hectare,2019,Total wheat,Tonnes,10.0
314,Crop Yield per Hectare,2019,Winter wheat,Tonnes,10.1
315,Crop Yield per Hectare,2019,Spring wheat,Tonnes,8.3
316,Crop Yield per Hectare,2019,Total oats,Tonnes,8.5
317,Crop Yield per Hectare,2019,Winter oats,Tonnes,8.9
318,Crop Yield per Hectare,2019,Spring oats,Tonnes,7.7
319,Crop Yield per Hectare,2019,Total barley,Tonnes,8.7
320,Crop Yield per Hectare,2019,Winter barley,Tonnes,9.4
321,Crop Yield per Hectare,2019,Spring barley,Tonnes,8.0
322,Crop Yield per Hectare,2019,Beans and peas,Tonnes,5.4
323,Crop Yield per Hectare,2019,Oilseed rape,Tonnes,4.2
324,Crop Yield per Hectare,2019,Potatoes,Tonnes,44.1
325,Crop Yield per Hectare,2020,"Total wheat, oats and barley",Tonnes,7.6
326,Crop Yield per Hectare,2020,Total wheat,Tonnes,8.4
327,Crop Yield per Hectare,2020,Winter wheat,Tonnes,8.7
328,Crop Yield per Hectare,2020,Spring wheat,Tonnes,7.4
329,Crop Yield per Hectare,2020,Total oats,Tonnes,7.5
330,Crop Yield per Hectare,2020,Winter oats,Tonnes,8.2
331,Crop Yield per Hectare,2020,Spring oats,Tonnes,7.1
332,Crop Yield per Hectare,2020,Total barley,Tonnes,7.4
333,Crop Yield per Hectare,2020,Winter barley,Tonnes,8.3
334,Crop Yield per Hectare,2020,Spring barley,Tonnes,7.1
335,Crop Yield per Hectare,2020,Beans and peas,Tonnes,4.8
336,Crop Yield per Hectare,2020,Oilseed rape,Tonnes,4.4
337,Crop Yield per Hectare,2020,Potatoes,Tonnes,33.8
338,Crop Production,2008,"Total wheat, oats and barley",000 Tonnes,2461.3
339,Crop Production,2008,Total wheat,000 Tonnes,992.8
340,Crop Production,2008,Winter wheat,000 Tonnes,839.9
341,Crop Production,2008,Spring wheat,000 Tonnes,153.0
342,Crop Production,2008,Total oats,000 Tonnes,174.3
343,Crop Production,2008,Winter oats,000 Tonnes,147.9
344,Crop Production,2008,Spring oats,000 Tonnes,26.4
345,Crop Production,2008,Total barley,000 Tonnes,1294.1
346,Crop Production,2008,Winter barley,000 Tonnes,181.8
347,Crop Production,2008,Spring barley,000 Tonnes,1112.4
348,Crop Production,2008,Beans and peas,000 Tonnes,11.1
349,Crop Production,2008,Oilseed rape,000 Tonnes,20.3
350,Crop Production,2008,Potatoes,000 Tonnes,344.9
351,Crop Production,2009,"Total wheat, oats and barley",000 Tonnes,2063.0
352,Crop Production,2009,Total wheat,000 Tonnes,690.1
353,Crop Production,2009,Winter wheat,000 Tonnes,552.7
354,Crop Production,2009,Spring wheat,000 Tonnes,137.4
355,Crop Production,2009,Total oats,000 Tonnes,145.7
356,Crop Production,2009,Winter oats,000 Tonnes,71.3
357,Crop Production,2009,Spring oats,000 Tonnes,74.4
358,Crop Production,2009,Total barley,000 Tonnes,1227.3
359,Crop Production,2009,Winter barley,000 Tonnes,164.2
360,Crop Production,2009,Spring barley,000 Tonnes,1063.1
361,Crop Production,2009,Beans and peas,000 Tonnes,22.2
362,Crop Production,2009,Oilseed rape,000 Tonnes,23.7
363,Crop Production,2009,Potatoes,000 Tonnes,336.1
364,Crop Production,2010,"Total wheat, oats and barley",000 Tonnes,2040.3
365,Crop Production,2010,Total wheat,000 Tonnes,669.2
366,Crop Production,2010,Winter wheat,000 Tonnes,532.0
367,Crop Production,2010,Spring wheat,000 Tonnes,137.2
368,Crop Production,2010,Total oats,000 Tonnes,148.1
369,Crop Production,2010,Winter oats,000 Tonnes,80.5
370,Crop Production,2010,Spring oats,000 Tonnes,67.6
371,Crop Production,2010,Total barley,000 Tonnes,1223.1
372,Crop Production,2010,Winter barley,000 Tonnes,245.1
373,Crop Production,2010,Spring barley,000 Tonnes,977.9
374,Crop Production,2010,Beans and peas,000 Tonnes,25.0
375,Crop Production,2010,Oilseed rape,000 Tonnes,28.1
376,Crop Production,2010,Potatoes,000 Tonnes,419.6
377,Crop Production,2011,"Total wheat, oats and barley",000 Tonnes,2509.4
378,Crop Production,2011,Total wheat,000 Tonnes,929.2
379,Crop Production,2011,Winter wheat,000 Tonnes,792.9
380,Crop Production,2011,Spring wheat,000 Tonnes,136.4
381,Crop Production,2011,Total oats,000 Tonnes,168.1
382,Crop Production,2011,Winter oats,000 Tonnes,70.5
383,Crop Production,2011,Spring oats,000 Tonnes,97.6
384,Crop Production,2011,Total barley,000 Tonnes,1412.0
385,Crop Production,2011,Winter barley,000 Tonnes,326.3
386,Crop Production,2011,Spring barley,000 Tonnes,1085.8
387,Crop Production,2011,Beans and peas,000 Tonnes,16.5
388,Crop Production,2011,Oilseed rape,000 Tonnes,55.9
389,Crop Production,2011,Potatoes,000 Tonnes,356.1
390,Crop Production,2012,"Total wheat, oats and barley",000 Tonnes,2125.1
