,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
42,0.010294628143310548,0.0003163976564549263,0.003505706787109375,4.0474459314898804e-05,0.01,0.1,6,20,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 20}",0.5969955185353047,0.05078407364310411,0.21785064910141183,0.5380351228933906,-0.273586539639205,0.22601576490680125,0.3210474528189127,79,-280.1705269112263,-259.94637991918984,-670.4425466514765,-366.61609670283536,-250.55637247629744,-365.5463845322051,157.87711352225395,79
36,0.011389589309692383,0.0023661189888255583,0.0034799098968505858,3.702952936113864e-05,0.01,0.1,3,20,"{'gamma': 0.01, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 20}",0.5969955185353047,0.05078407364310411,0.21785064910141183,0.5380351228933906,-0.273586539639205,0.22601576490680125,0.3210474528189127,79,-280.1705269112263,-259.94637991918984,-670.4425466514765,-366.61609670283536,-250.55637247629744,-365.5463845322051,157.87711352225395,79
114,0.011473846435546876,0.000571398751739328,0.003953266143798828,0.00031800081676062894,0.1,0.1,6,20,"{'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 20}",0.5969955185353047,0.05078407364310411,0.21785064910141183,0.5380351228933906,-0.273586539639205,0.22601576490680125,0.3210474528189127,79,-280.1705269112263,-259.94637991918984,-670.4425466514765,-366.61609670283536,-250.55637247629744,-365.5463845322051,157.87711352225395,79
99,0.057076311111450194,0.005811982822414106,0.0036945343017578125,4.2727110568130565e-05,0.1,0.01,6,160,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 160}",0.11972952916566271,-1.0428229946275525,-0.15110101718503488,-0.08551513967542834,-1.585695765914529,-0.5490810776473763,0.6540550783647371,85,-414.07172521645475,-381.34375127169295,-813.3424531656791,-561.9853480244402,-357.00963306848314,-505.5505821493501,169.5764431277962,85
93,0.05837206840515137,0.008619190603513089,0.003801918029785156,0.00021069202943784936,0.1,0.01,3,160,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 160}",0.11972952916566271,-1.0428229946275525,-0.15110101718503488,-0.08551513967542834,-1.585695765914529,-0.5490810776473763,0.6540550783647371,85,-414.07172521645475,-381.34375127169295,-813.3424531656791,-561.9853480244402,-357.00963306848314,-505.5505821493501,169.5764431277962,85
105,0.05475187301635742,0.005336856672901477,0.003766632080078125,0.00011033877896985361,0.1,0.01,9,160,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 160}",0.11972952916566271,-1.0428229946275525,-0.15110101718503488,-0.08551513967542834,-1.585695765914529,-0.5490810776473763,0.6540550783647371,85,-414.07172521645475,-381.34375127169295,-813.3424531656791,-561.9853480244402,-357.00963306848314,-505.5505821493501,169.5764431277962,85
33,0.05459427833557129,0.004521420634833715,0.0036899566650390623,2.1109080669539344e-05,0.01,0.01,9,160,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 160}",0.11972952916566271,-1.0428229946275525,-0.15110101718503488,-0.08551513967542834,-1.585695765914529,-0.5490810776473763,0.6540550783647371,85,-414.07172521645475,-381.34375127169295,-813.3424531656791,-561.9853480244402,-357.00963306848314,-505.5505821493501,169.5764431277962,85
27,0.05314240455627441,0.0016916488669660656,0.0037477970123291015,0.0001803586739169316,0.01,0.01,6,160,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 160}",0.11972952916566271,-1.0428229946275525,-0.15110101718503488,-0.08551513967542834,-1.585695765914529,-0.5490810776473763,0.6540550783647371,85,-414.07172521645475,-381.34375127169295,-813.3424531656791,-561.9853480244402,-357.00963306848314,-505.5505821493501,169.5764431277962,85
21,0.05511975288391113,0.0032306300119304804,0.003663301467895508,0.00011356385233857579,0.01,0.01,3,160,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 160}",0.11972952916566271,-1.0428229946275525,-0.15110101718503488,-0.08551513967542834,-1.585695765914529,-0.5490810776473763,0.6540550783647371,85,-414.07172521645475,-381.34375127169295,-813.3424531656791,-561.9853480244402,-357.00963306848314,-505.5505821493501,169.5764431277962,85
104,0.028699588775634766,0.0025520721863320603,0.003695821762084961,0.00015435584867966716,0.1,0.01,9,80,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 80}",-2.749819513859545,-7.236456885196514,-1.6493012393631243,-3.281017076595127,-10.349964582515101,-5.053311859505882,3.2513088551347242,91,-854.6192904831198,-765.7226262830953,-1233.906902756506,-1116.0419789148652,-747.9773996165885,-943.653639610835,195.8777414722917,91
92,0.032540321350097656,0.00811143435106628,0.0037457942962646484,0.0003631948781098729,0.1,0.01,3,80,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 80}",-2.749819513859545,-7.236456885196514,-1.6493012393631243,-3.281017076595127,-10.349964582515101,-5.053311859505882,3.2513088551347242,91,-854.6192904831198,-765.7226262830953,-1233.906902756506,-1116.0419789148652,-747.9773996165885,-943.653639610835,195.8777414722917,91
26,0.028747415542602538,0.003714361012771171,0.0035945892333984373,4.482380885906053e-05,0.01,0.01,6,80,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 80}",-2.749819513859545,-7.236456885196514,-1.6493012393631243,-3.281017076595127,-10.349964582515101,-5.053311859505882,3.2513088551347242,91,-854.6192904831198,-765.7226262830953,-1233.906902756506,-1116.0419789148652,-747.9773996165885,-943.653639610835,195.8777414722917,91
32,0.027965879440307616,0.0009956925931455531,0.0038010597229003905,0.00022943511291849373,0.01,0.01,9,80,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 80}",-2.749819513859545,-7.236456885196514,-1.6493012393631243,-3.281017076595127,-10.349964582515101,-5.053311859505882,3.2513088551347242,91,-854.6192904831198,-765.7226262830953,-1233.906902756506,-1116.0419789148652,-747.9773996165885,-943.653639610835,195.8777414722917,91
